val_macro_f1-score,val_macro_recall,val_micro_accuracy,val_macro_precision,val_weighted_precision,val_weighted_recall,val_weighted_f1-score,val_balanced_accuracy,test_macro_f1-score,test_macro_recall,test_micro_accuracy,test_macro_precision,test_weighted_precision,test_weighted_recall,test_weighted_f1-score,test_balanced_accuracy,test_macro_ovr_roc_auc_score,test_time,learning_rate,loss_function,batch_size,optimizer,betas,amsgrad,weight_decay,epochs_taken,train_insertions,train_deletions,train_mutation_rate,model_name,oversample,confidence_threshold,seq_count_threshold,seq_len,test_insertions,test_deletions,test_mutation_rate,tag_and_primer,reverse_complements,k_folds,k_iters,encoding_mode,test_split,load_existing_train_test,layer1_input_channels,layer1_output_channels,layer1_conv_kernel,layer1_stride,layer1_padding,layer1_dropout,layer1_pool_kernel,layer2_input_channels,layer2_output_channels,layer2_conv_kernel,layer2_stride,layer2_padding,layer2_dropout,layer2_pool_kernel,datetime,trials
1.0,1.0,0.9807771077483218,1.0,1.0,1.0,1.0,1.0,0.9017094017094018,0.9198717948717948,0.9257142857142856,0.9508547008547008,0.9533333333333334,0.9257142857142856,0.9095238095238096,0.9198717948717948,0.9972737989979368,0.0276057720184326,0.002,CrossEntropyLoss,16,Adam,"(0.9, 0.999)",False,0.0,13,"[0, 2]","[0, 2]",0.05,VariableCNN,True,,2,64,"[1, 1]","[1, 1]",0.02,False,False,5,5,probability,0.3,True,4,256,8,1,1,0.1,0,256.0,612.0,6.0,1.0,1.0,0.6,3.0,20240111_225708,1.0
0.9891891891891892,0.9945945945945944,0.9807771077483216,0.9945945945945944,1.0,0.9953488372093025,0.9953488372093025,0.9944444444444444,0.9412393162393164,0.9551282051282052,0.9542857142857144,0.9743589743589745,0.9742857142857144,0.9542857142857144,0.9428571428571428,0.9551282051282052,0.9993362311729864,0.0182356834411621,0.003,CrossEntropyLoss,48,Adam,"(0.9, 0.999)",False,0.0,16,"[0, 2]","[0, 2]",0.05,VariableCNN,True,,2,64,"[1, 1]","[1, 1]",0.02,False,False,5,5,probability,0.3,True,4,128,6,1,2,0.1,3,,,,,,,,20240110_155031,1.0
1.0,1.0,0.9807714188189782,1.0,1.0,1.0,1.0,1.0,0.9230769230769232,0.939102564102564,0.9428571428571428,0.9668803418803418,0.9676190476190476,0.9428571428571428,0.9285714285714286,0.939102564102564,0.999189294859018,0.0192663669586181,0.007,CrossEntropyLoss,32,Adam,"(0.9, 0.999)",False,0.0,16,"[0, 2]","[0, 2]",0.05,VariableCNN,True,,2,64,"[1, 1]","[1, 1]",0.02,False,False,5,5,probability,0.3,True,4,256,8,1,2,0.2,3,,,,,,,,20240112_060204,1.0
1.0,1.0,0.9797303447491184,1.0,1.0,1.0,1.0,1.0,0.8865384615384614,0.8974358974358975,0.9028571428571428,0.9209401709401708,0.9247619047619048,0.9028571428571428,0.8929523809523808,0.8974358974358975,0.9981204928882824,0.0189511775970459,0.008,CrossEntropyLoss,48,Adam,"(0.9, 0.999)",False,0.0,17,"[0, 2]","[0, 2]",0.05,VariableCNN,True,,2,64,"[1, 1]","[1, 1]",0.02,False,False,5,5,probability,0.3,True,4,128,5,1,2,0.0,3,,,,,,,,20240110_133411,1.0
1.0,1.0,0.9797246558197747,1.0,1.0,1.0,1.0,1.0,0.9027777777777776,0.9134615384615384,0.9142857142857144,0.9326923076923076,0.9371428571428572,0.9142857142857144,0.9066666666666666,0.9134615384615384,0.9992261354130996,0.0211851596832275,0.006,CrossEntropyLoss,64,Adam,"(0.9, 0.999)",False,0.0,13,"[0, 2]","[0, 2]",0.05,VariableCNN,False,,2,64,"[1, 1]","[1, 1]",0.02,False,False,5,5,probability,0.3,True,4,128,6,1,0,0.0,3,128.0,612.0,9.0,1.0,2.0,0.3,3.0,20240111_101018,3.0
1.0,1.0,0.9797246558197747,1.0,1.0,1.0,1.0,1.0,0.9188034188034186,0.9326923076923076,0.9371428571428572,0.9572649572649572,0.9590476190476188,0.9371428571428572,0.9247619047619048,0.9326923076923076,0.998986778287157,0.0184941291809082,0.004,CrossEntropyLoss,48,Adam,"(0.9, 0.999)",False,0.0,16,"[0, 2]","[0, 2]",0.05,VariableCNN,False,,2,64,"[1, 1]","[1, 1]",0.02,False,False,5,5,probability,0.3,True,4,612,5,1,2,0.1,3,,,,,,,,20240111_194012,1.0
0.9871794871794872,0.9942307692307694,0.9797246558197747,0.9923076923076924,1.0,0.9933333333333334,0.9944444444444444,0.994,0.927777777777778,0.9423076923076924,0.9428571428571428,0.9668803418803418,0.9666666666666668,0.9428571428571428,0.9302857142857144,0.9423076923076924,0.9983232224113228,0.0177218914031982,0.003,CrossEntropyLoss,64,Adam,"(0.9, 0.999)",False,0.0,13,"[0, 2]","[0, 2]",0.05,VariableCNN,True,,2,64,"[1, 1]","[1, 1]",0.02,False,False,5,5,probability,0.3,True,4,512,9,1,1,0.1,3,,,,,,,,20240112_101958,1.0
1.0,1.0,0.9797189668904313,1.0,1.0,1.0,1.0,1.0,0.9014957264957264,0.9198717948717948,0.9257142857142856,0.9583333333333334,0.9580952380952382,0.9257142857142856,0.9072380952380952,0.9198717948717948,0.9990421455938696,0.0197227001190185,0.002,CrossEntropyLoss,32,Adam,"(0.9, 0.999)",False,0.0,17,"[0, 2]","[0, 2]",0.05,VariableCNN,False,,2,64,"[1, 1]","[1, 1]",0.02,False,False,5,5,probability,0.3,True,4,512,9,2,1,0.4,3,,,,,,,,20240111_043126,
1.0,1.0,0.9797189668904313,1.0,1.0,1.0,1.0,1.0,0.9324786324786324,0.9487179487179488,0.9542857142857144,0.9754273504273504,0.976190476190476,0.9542857142857144,0.9386666666666664,0.9487179487179488,0.9980289238810266,0.0256166458129882,0.003,CrossEntropyLoss,10,Adam,"(0.9, 0.999)",False,0.0,14,"[0, 2]","[0, 2]",0.05,VariableCNN,False,,2,64,"[1, 1]","[1, 1]",0.02,False,False,5,5,probability,0.3,True,4,512,7,1,2,0.3,3,,,,,,,,20240111_073453,
0.9947712418300654,0.9980392156862744,0.9797189668904313,0.996078431372549,1.0,0.9966666666666668,0.9977777777777778,0.998,0.9282051282051282,0.9423076923076924,0.9485714285714286,0.965811965811966,0.9676190476190476,0.9485714285714286,0.9348571428571428,0.9423076923076924,0.9991154007996744,0.02083420753479,0.004,CrossEntropyLoss,64,Adam,"(0.9, 0.999)",False,0.0,15,"[0, 2]","[0, 2]",0.05,VariableCNN,False,,2,64,"[1, 1]","[1, 1]",0.02,False,False,5,5,probability,0.3,True,4,512,7,1,1,0.0,2,512.0,512.0,6.0,2.0,0.0,0.8,2.0,20240111_090646,1.0
