val_macro_f1-score,val_macro_recall,val_micro_accuracy,val_macro_precision,val_weighted_precision,val_weighted_recall,val_weighted_f1-score,val_balanced_accuracy,test_macro_f1-score,test_macro_recall,test_micro_accuracy,test_macro_precision,test_weighted_precision,test_weighted_recall,test_weighted_f1-score,test_balanced_accuracy,test_macro_ovr_roc_auc_score,learning_rate,loss_function,batch_size,optimizer,betas,amsgrad,weight_decay,epochs_taken,train_insertions,train_deletions,train_mutation_rate,model_name,confidence_threshold,seq_count_threshold,seq_len,test_insertions,test_deletions,test_mutation_rate,tag_and_primer,reverse_complements,k_folds,k_iters,encoding_mode,test_split,load_existing_train_test,datetime,trials,layer1_input_channels,layer1_output_channels,layer1_conv_kernel,layer1_stride,layer1_padding,layer1_dropout,layer1_pool_kernel,layer2_input_channels,layer2_output_channels,layer2_conv_kernel,layer2_stride,layer2_padding,layer2_dropout,layer2_pool_kernel,layer3_input_channels,layer3_output_channels,layer3_conv_kernel,layer3_stride,layer3_padding,layer3_dropout,layer3_pool_kernel,layer4_input_channels,layer4_output_channels,layer4_conv_kernel,layer4_stride,layer4_padding,layer4_dropout,layer4_pool_kernel,layer5_input_channels,layer5_output_channels,layer5_conv_kernel,layer5_stride,layer5_padding,layer5_dropout,layer5_pool_kernel,layer6_input_channels,layer6_output_channels,layer6_conv_kernel,layer6_stride,layer6_padding,layer6_dropout,layer6_pool_kernel,test_time,oversample
0.6998303828953982,0.7547747876478527,0.6962453066332916,0.9301163769151384,0.9804971751412428,0.742316384180791,0.7389642184557438,0.741591836734694,0.8213675213675213,0.8557692307692307,0.8628571428571429,0.9166666666666666,0.9209523809523812,0.8628571428571429,0.8329523809523809,0.8557692307692307,0.9916350647116045,0.001,CrossEntropyLoss,64.0,Adam,"(0.9, 0.999)",False,0.0,22.0,"[0, 2]","[0, 2]",0.05,VariableCNN,,2.0,60.0,"[1, 1]","[1, 1]",0.02,False,False,5.0,5.0,probability,0.3,True,20240101_053534,1.0,4.0,128.0,7.0,1.0,0.0,0.0,3.0,128.0,128.0,9.0,2.0,2.0,0.6,2.0,128.0,256.0,3.0,2.0,2.0,0.6,0.0,,,,,,,,,,,,,,,,,,,,,,0.0202298164367675,True
0.6991969172768284,0.7558132904831018,0.6866253271134373,0.9353757322958212,0.9943502824858758,0.7389830508474576,0.7466666666666666,0.7471428571428571,0.8117521367521368,0.8461538461538461,0.84,0.9091880341880344,0.9142857142857144,0.84,0.811047619047619,0.8461538461538461,0.9926804420525768,0.002,CrossEntropyLoss,64.0,Adam,"(0.9, 0.999)",False,0.0,30.0,"[0, 2]","[0, 2]",0.05,VariableCNN,,2.0,60.0,"[1, 1]","[1, 1]",0.02,False,False,5.0,5.0,probability,0.3,True,20240101_060419,1.0,4.0,128.0,5.0,2.0,0.0,0.4,2.0,128.0,128.0,5.0,1.0,2.0,0.2,0.0,128.0,128.0,5.0,2.0,2.0,0.2,0.0,128.0,32.0,7.0,2.0,2.0,0.2,3.0,,,,,,,,,,,,,,,0.0214536190032959,False
0.6982592592592592,0.840079365079365,0.7426783479349185,0.8420846560846561,0.9855820105820106,0.8023809523809524,0.8121693121693122,0.8077075098814228,0.6467948717948718,0.717948717948718,0.6971428571428572,0.8301282051282052,0.8247619047619047,0.6971428571428572,0.6314285714285715,0.717948717948718,0.98805961440504,0.002,CrossEntropyLoss,32.0,Adam,"(0.9, 0.999)",False,0.0,28.0,"[0, 2]","[0, 2]",0.05,VariableCNN,,2.0,60.0,"[1, 1]","[1, 1]",0.02,False,False,5.0,5.0,probability,0.3,True,20240101_052503,1.0,4.0,16.0,11.0,1.0,0.0,0.6,0.0,16.0,32.0,5.0,1.0,0.0,0.2,3.0,32.0,16.0,9.0,1.0,1.0,0.2,3.0,16.0,256.0,7.0,1.0,2.0,0.6,0.0,,,,,,,,,,,,,,,0.0230414867401123,False
0.6975555555555555,0.770576923076923,0.6417055410171806,0.92025641025641,0.9925925925925926,0.7407407407407407,0.7432098765432098,0.7428853754940711,0.6856837606837607,0.7371794871794872,0.7257142857142858,0.8333333333333334,0.8409523809523809,0.7257142857142858,0.6864761904761905,0.7371794871794872,0.9870615122259532,0.001,CrossEntropyLoss,32.0,Adam,"(0.9, 0.999)",False,0.0,26.0,"[0, 2]","[0, 2]",0.05,VariableCNN,,2.0,60.0,"[1, 1]","[1, 1]",0.02,False,False,5.0,5.0,probability,0.3,True,20231231_224107,1.0,4.0,16.0,9.0,1.0,0.0,0.2,3.0,16.0,16.0,5.0,2.0,0.0,0.0,0.0,16.0,32.0,3.0,2.0,2.0,0.4,2.0,,,,,,,,,,,,,,,,,,,,,,0.0217268466949462,False
0.6973513414689885,0.7584104297478327,0.7122937763112982,0.9233033355841348,0.9842937853107344,0.735593220338983,0.7387570621468926,0.7429795918367347,0.8309829059829059,0.8621794871794872,0.8514285714285714,0.9091880341880344,0.9114285714285716,0.8514285714285714,0.8262857142857143,0.8621794871794872,0.994176211138539,0.0005,CrossEntropyLoss,64.0,Adam,"(0.9, 0.999)",False,0.0,26.0,"[0, 2]","[0, 2]",0.05,VariableCNN,,2.0,60.0,"[1, 1]","[1, 1]",0.02,False,False,5.0,5.0,probability,0.3,True,20240101_083625,1.0,4.0,256.0,5.0,2.0,0.0,0.4,0.0,256.0,256.0,7.0,1.0,0.0,0.4,2.0,256.0,32.0,9.0,1.0,1.0,0.2,0.0,,,,,,,,,,,,,,,,,,,,,,0.0202612876892089,False
0.6970331456132418,0.7534853455008838,0.7251109341221982,0.9404860717172964,0.996045197740113,0.7490960451977402,0.75,0.7450612244897958,0.8192307692307692,0.8557692307692307,0.8571428571428571,0.9177350427350428,0.9219047619047618,0.8571428571428571,0.8234285714285714,0.8557692307692307,0.9927030148776212,0.0005,CrossEntropyLoss,64.0,Adam,"(0.9, 0.999)",False,0.0,25.0,"[0, 2]","[0, 2]",0.05,VariableCNN,,2.0,60.0,"[1, 1]","[1, 1]",0.02,False,False,5.0,5.0,probability,0.3,True,20240101_064012,1.0,4.0,16.0,7.0,1.0,2.0,0.4,3.0,16.0,256.0,11.0,2.0,0.0,0.2,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0182087421417236,True
0.6969696969696969,0.8089610389610391,0.6994424849243372,0.8703896103896105,0.9833333333333332,0.7454545454545455,0.7515151515151516,0.7466666666666667,0.7974358974358975,0.8333333333333334,0.8285714285714286,0.9043803418803418,0.9071428571428573,0.8285714285714286,0.7984761904761906,0.8333333333333334,0.991303499724867,0.0005,CrossEntropyLoss,16.0,Adam,"(0.9, 0.999)",False,0.0,31.0,"[0, 2]","[0, 2]",0.05,VariableCNN,,2.0,60.0,"[1, 1]","[1, 1]",0.02,False,False,5.0,5.0,probability,0.3,True,20240101_082627,1.0,4.0,256.0,11.0,2.0,2.0,0.6,3.0,256.0,16.0,3.0,1.0,0.0,0.6,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0235755443572998,True
0.6966949494949495,0.7508901686548745,0.6898395721925134,0.9335381873028932,0.9780225988700564,0.7322033898305085,0.7247457627118644,0.7393877551020408,0.757051282051282,0.8044871794871795,0.8057142857142857,0.8910256410256411,0.8933333333333334,0.8057142857142857,0.7659047619047621,0.8044871794871795,0.9923906154970538,0.001,CrossEntropyLoss,64.0,Adam,"(0.9, 0.999)",False,0.0,25.0,"[0, 2]","[0, 2]",0.05,VariableCNN,,2.0,60.0,"[1, 1]","[1, 1]",0.02,False,False,5.0,5.0,probability,0.3,True,20240101_093645,1.0,4.0,128.0,11.0,1.0,0.0,0.6,2.0,128.0,32.0,11.0,1.0,2.0,0.6,0.0,32.0,128.0,9.0,1.0,2.0,0.4,3.0,,,,,,,,,,,,,,,,,,,,,,0.0203640460968017,False
0.694006734006734,0.7577777777777778,0.6887586756172488,0.9325252525252524,0.990909090909091,0.7454545454545455,0.7393939393939395,0.7355555555555555,0.7496336996336996,0.7948717948717948,0.7828571428571428,0.8833333333333334,0.8758095238095237,0.7828571428571428,0.7393469387755103,0.7948717948717948,0.9936216862666932,0.002,CrossEntropyLoss,16.0,Adam,"(0.9, 0.999)",False,0.0,26.0,"[0, 2]","[0, 2]",0.05,VariableCNN,,2.0,60.0,"[1, 1]","[1, 1]",0.02,False,False,5.0,5.0,probability,0.3,True,20240101_021850,1.0,4.0,64.0,5.0,2.0,0.0,0.0,3.0,64.0,128.0,11.0,1.0,1.0,0.6,0.0,128.0,16.0,3.0,2.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,0.0259735584259033,True
0.6935654001171242,0.8208242332380264,0.7342928660826032,0.8473536425260562,0.957716572504708,0.7814124293785311,0.7720244821092278,0.7887755102040817,0.7160561660561661,0.7692307692307693,0.7485714285714286,0.8583333333333334,0.8512380952380952,0.7485714285714286,0.7051972789115646,0.7692307692307693,0.987930140087804,0.007,CrossEntropyLoss,64.0,Adam,"(0.9, 0.999)",False,0.0,21.0,"[0, 2]","[0, 2]",0.05,VariableCNN,,2.0,60.0,"[1, 1]","[1, 1]",0.02,False,False,5.0,5.0,probability,0.3,True,20240101_085105,1.0,4.0,64.0,9.0,1.0,0.0,0.2,0.0,64.0,128.0,3.0,1.0,0.0,0.6,2.0,128.0,128.0,5.0,1.0,2.0,0.4,2.0,128.0,128.0,7.0,2.0,0.0,0.4,3.0,,,,,,,,,,,,,,,0.0220100879669189,False
0.6933333333333334,0.7928205128205128,0.6919615428376379,0.9005128205128206,1.0,0.7454545454545455,0.7454545454545455,0.7377777777777779,0.7771367521367523,0.8141025641025641,0.8228571428571428,0.8782051282051282,0.8828571428571429,0.8228571428571428,0.7893333333333333,0.8141025641025641,0.9824364255548232,0.001,CrossEntropyLoss,16.0,Adam,"(0.9, 0.999)",False,0.0,42.0,"[0, 2]","[0, 2]",0.05,VariableCNN,,2.0,60.0,"[1, 1]","[1, 1]",0.02,False,False,5.0,5.0,probability,0.3,True,20240101_063303,1.0,4.0,128.0,11.0,1.0,2.0,0.2,2.0,128.0,128.0,5.0,2.0,0.0,0.2,3.0,128.0,16.0,3.0,2.0,1.0,0.2,2.0,,,,,,,,,,,,,,,,,,,,,,0.0266997814178466,True
0.6923852143663465,0.787659248508305,0.7005176925702583,0.8837379147756506,0.9762674199623352,0.7423163841807909,0.7436935028248588,0.7429795918367347,0.6982905982905984,0.7467948717948718,0.76,0.873076923076923,0.8725714285714286,0.76,0.7144761904761905,0.7467948717948718,0.9882953513609284,0.0005,CrossEntropyLoss,64.0,Adam,"(0.9, 0.999)",False,0.0,30.0,"[0, 2]","[0, 2]",0.05,VariableCNN,,2.0,60.0,"[1, 1]","[1, 1]",0.02,False,False,5.0,5.0,probability,0.3,True,20240101_102339,1.0,4.0,32.0,7.0,2.0,1.0,0.4,0.0,32.0,16.0,3.0,1.0,1.0,0.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0184676647186279,False
0.6917688591601634,0.7590462653288741,0.6780748663101603,0.9232001114827202,0.9888888888888888,0.7333333333333333,0.7358024691358025,0.7385375494071146,0.6297008547008546,0.7019230769230769,0.7028571428571428,0.8205128205128205,0.8228571428571428,0.7028571428571428,0.6369523809523809,0.7019230769230769,0.9812720085044184,0.002,CrossEntropyLoss,32.0,Adam,"(0.9, 0.999)",False,0.0,35.0,"[0, 2]","[0, 2]",0.05,VariableCNN,,2.0,60.0,"[1, 1]","[1, 1]",0.02,False,False,5.0,5.0,probability,0.3,True,20240101_110755,1.0,4.0,32.0,7.0,2.0,1.0,0.6,3.0,32.0,16.0,9.0,2.0,2.0,0.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0207796096801757,True
0.6895469912102772,0.7416835699797161,0.6695130276481966,0.9361899932386748,0.9838983050847456,0.7254237288135593,0.7222598870056498,0.7296734693877551,0.852991452991453,0.8846153846153846,0.8914285714285715,0.935897435897436,0.9371428571428572,0.8914285714285715,0.8617142857142857,0.8846153846153846,0.9904027162348868,0.007,CrossEntropyLoss,64.0,Adam,"(0.9, 0.999)",False,0.0,24.0,"[0, 2]","[0, 2]",0.05,VariableCNN,,2.0,60.0,"[1, 1]","[1, 1]",0.02,False,False,5.0,5.0,probability,0.3,True,20240101_010945,1.0,4.0,16.0,7.0,1.0,2.0,0.0,0.0,16.0,16.0,3.0,2.0,1.0,0.2,2.0,16.0,256.0,9.0,2.0,0.0,0.2,3.0,,,,,,,,,,,,,,,,,,,,,,0.0192964076995849,False
0.6883190883190882,0.8423465423465423,0.7500625782227786,0.8366744366744368,0.990909090909091,0.8212121212121213,0.8272727272727274,0.8100000000000002,0.6549145299145298,0.7147435897435898,0.7028571428571428,0.829594017094017,0.8357142857142857,0.7028571428571428,0.6493333333333333,0.7147435897435898,0.9868760317484654,0.002,CrossEntropyLoss,16.0,Adam,"(0.9, 0.999)",False,0.0,27.0,"[0, 2]","[0, 2]",0.05,VariableCNN,,2.0,60.0,"[1, 1]","[1, 1]",0.02,False,False,5.0,5.0,probability,0.3,True,20240101_045112,1.0,4.0,128.0,3.0,2.0,0.0,0.4,0.0,128.0,16.0,3.0,2.0,1.0,0.4,2.0,16.0,16.0,3.0,2.0,1.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,0.0257205963134765,False
0.6882154882154883,0.7895881895881895,0.6267322789850949,0.8881895881895883,0.990909090909091,0.7272727272727273,0.7333333333333334,0.7355555555555556,0.6532051282051282,0.7115384615384616,0.7028571428571428,0.8279914529914532,0.8266666666666668,0.7028571428571428,0.6512380952380953,0.7115384615384616,0.98507148345199,0.0005,CrossEntropyLoss,16.0,Adam,"(0.9, 0.999)",False,0.0,36.0,"[0, 2]","[0, 2]",0.05,VariableCNN,,2.0,60.0,"[1, 1]","[1, 1]",0.02,False,False,5.0,5.0,probability,0.3,True,20231231_215121,1.0,4.0,16.0,9.0,1.0,0.0,0.0,3.0,16.0,32.0,7.0,1.0,1.0,0.2,2.0,32.0,16.0,7.0,1.0,2.0,0.2,2.0,,,,,,,,,,,,,,,,,,,,,,0.0257158279418945,False
