name,train_macro_f1-score,train_macro_f1-score,train_macro_recall,train_macro_recall,train_micro_accuracy,train_micro_accuracy,train_macro_precision,train_macro_precision,train_weighted_precision,train_weighted_precision,train_weighted_recall,train_weighted_recall,train_weighted_f1-score,train_weighted_f1-score,train_balanced_accuracy,train_balanced_accuracy,train_macro_ovr_roc_auc_score,train_macro_ovr_roc_auc_score,test_macro_f1-score,test_macro_f1-score,test_macro_recall,test_macro_recall,test_micro_accuracy,test_micro_accuracy,test_macro_precision,test_macro_precision,test_weighted_precision,test_weighted_precision,test_weighted_recall,test_weighted_recall,test_weighted_f1-score,test_weighted_f1-score,test_balanced_accuracy,test_balanced_accuracy,test_macro_ovr_roc_auc_score,test_macro_ovr_roc_auc_score
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
nb8_same_as_zurich_oversampled_t70_trainnoise-1_testnoise-2_thresh-2,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.838247863247863,0.0,0.8717948717948718,0.0,0.8742857142857142,0.0,0.9305555555555557,0.0,0.9314285714285714,0.0,0.8742857142857142,0.0,0.844,0.0,0.8717948717948718,0.0,-1.0,0.0
lr-lbfgs5_same_as_zurich_oversampled_t70_trainnoise-1_testnoise-2_thresh-2,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.8324786324786325,0.0,0.8621794871794872,0.0,0.8685714285714287,0.0,0.9230769230769232,0.0,0.9209523809523811,0.0,0.8685714285714287,0.0,0.8394285714285714,0.0,0.8621794871794872,0.0,-1.0,0.0
nb5_same_as_zurich_oversampled_t70_trainnoise-1_testnoise-2_thresh-2,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.8252136752136753,0.0,0.8621794871794872,0.0,0.8685714285714287,0.0,0.9198717948717948,0.0,0.9228571428571429,0.0,0.8685714285714287,0.0,0.8350476190476191,0.0,0.8621794871794872,0.0,-1.0,0.0
svm5_same_as_zurich_oversampled_t70_trainnoise-1_testnoise-2_thresh-2,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.8200854700854702,0.0,0.8525641025641025,0.0,0.8685714285714287,0.0,0.9252136752136751,0.0,0.9266666666666667,0.0,0.8685714285714287,0.0,0.8354285714285714,0.0,0.8525641025641025,0.0,-1.0,0.0
lr-lbfgs8_same_as_zurich_oversampled_t70_trainnoise-1_testnoise-2_thresh-2,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.8166666666666668,0.0,0.8493589743589743,0.0,0.8628571428571429,0.0,0.9220085470085468,0.0,0.9190476190476188,0.0,0.8628571428571429,0.0,0.8283809523809524,0.0,0.8493589743589743,0.0,-1.0,0.0
rf5_200_same_as_zurich_oversampled_t70_trainnoise-1_testnoise-2_thresh-2,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.790883190883191,0.009748212029017418,0.8290598290598291,0.014452723566740027,0.8380952380952381,0.01438063701956336,0.8956552706552706,0.013528076861269616,0.8980952380952383,0.01496784156714447,0.8380952380952381,0.01438063701956336,0.8020952380952382,0.011052544058212531,0.8290598290598291,0.014452723566740027,-1.0,0.0
rf5_100_same_as_zurich_oversampled_t70_trainnoise-1_testnoise-2_thresh-2,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.7928062678062678,0.012127519460850441,0.8290598290598291,0.010303045684821604,0.8323809523809524,0.008728715609439693,0.8977920227920227,0.007504026889496266,0.8971428571428571,0.010033955955097828,0.8323809523809524,0.008728715609439693,0.7982222222222223,0.012763799906667461,0.8290598290598291,0.010303045684821604,-1.0,0.0
rf8_200_same_as_zurich_oversampled_t70_trainnoise-1_testnoise-2_thresh-2,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.7794871794871795,0.009467041844818684,0.8194444444444443,0.007401926528072099,0.8285714285714286,0.005714285714285713,0.8945868945868946,0.008569237475438744,0.8958730158730158,0.006689303970065193,0.8285714285714286,0.005714285714285713,0.790984126984127,0.006557841947263747,0.8194444444444443,0.007401926528072099,-1.0,0.0
rf8_100_same_as_zurich_oversampled_t70_trainnoise-1_testnoise-2_thresh-2,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.7566239316239317,0.009808134544896227,0.8002136752136751,0.008066062430844864,0.8057142857142857,0.009897433186107876,0.8888888888888888,0.0021367521367522124,0.8892063492063492,0.001454785934906598,0.8057142857142857,0.009897433186107876,0.7667301587301588,0.010295116220296767,0.8002136752136751,0.008066062430844864,-1.0,0.0
knn5_1_same_as_zurich_oversampled_t70_trainnoise-1_testnoise-2_thresh-2,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.7603632478632479,0.0,0.7916666666666666,0.0,0.7942857142857142,0.0,0.9097222222222222,0.0,0.9071428571428571,0.0,0.7942857142857142,0.0,0.7657142857142857,0.0,0.7916666666666666,0.0,-1.0,0.0
knn5_3_same_as_zurich_oversampled_t70_trainnoise-1_testnoise-2_thresh-2,0.9508280855446843,0.0,0.9551282051282052,0.0,0.9551282051282052,0.0,0.9694573588804355,0.0,0.9694573588804355,0.0,0.9551282051282052,0.0,0.9508280855446848,0.0,0.9551282051282052,0.0,-1.0,0.0,0.7574074074074074,0.0,0.7884615384615384,0.0,0.7885714285714286,0.0,0.8921550671550671,0.0,0.8894421768707484,0.0,0.7885714285714286,0.0,0.761777777777778,0.0,0.7884615384615384,0.0,-1.0,0.0
knn5_7_same_as_zurich_oversampled_t70_trainnoise-1_testnoise-2_thresh-2,0.933461868699425,0.0,0.9369658119658121,0.0,0.9369658119658121,0.0,0.951807451807452,0.0,0.951807451807452,0.0,0.9369658119658121,0.0,0.9334618686994252,0.0,0.9369658119658121,0.0,-1.0,0.0,0.7431013431013432,0.0,0.7852564102564102,0.0,0.7885714285714286,0.0,0.8871794871794872,0.0,0.8902857142857142,0.0,0.7885714285714286,0.0,0.7498775510204082,0.0,0.7852564102564102,0.0,-1.0,0.0
rf5_50_same_as_zurich_oversampled_t70_trainnoise-1_testnoise-2_thresh-2,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.7325498575498575,0.047174015950980246,0.7799145299145298,0.04058423058380898,0.7847619047619047,0.03444407870480979,0.8687678062678063,0.021436409608470812,0.8725396825396824,0.01935662058296967,0.7847619047619047,0.03444407870480979,0.7443174603174603,0.041463185685566395,0.7799145299145298,0.04058423058380898,-1.0,0.0
rf8_50_same_as_zurich_oversampled_t70_trainnoise-1_testnoise-2_thresh-2,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.7314204314204314,0.015369143204108275,0.7767094017094017,0.006672006408545273,0.7809523809523808,0.0032991443953692737,0.8728988603988603,0.013302175910194027,0.8745079365079365,0.012179434483530927,0.7809523809523808,0.0032991443953692737,0.7403990929705215,0.012383922297101817,0.7767094017094017,0.006672006408545273,-1.0,0.0
knn5_5_same_as_zurich_oversampled_t70_trainnoise-1_testnoise-2_thresh-2,0.942774912830283,0.0,0.9455128205128204,0.0,0.9455128205128204,0.0,0.9581621370082908,0.0,0.9581621370082908,0.0,0.9455128205128204,0.0,0.9427749128302833,0.0,0.9455128205128204,0.0,-1.0,0.0,0.7341880341880341,0.0,0.7660256410256411,0.0,0.7657142857142857,0.0,0.8842592592592592,0.0,0.8863492063492063,0.0,0.7657142857142857,0.0,0.7382857142857141,0.0,0.7660256410256411,0.0,-1.0,0.0
xgb-portion0.2_5_same_as_zurich_oversampled_t70_trainnoise-1_testnoise-2_thresh-2,0.9992827685135378,0.00062114068767029,0.9992877492877493,0.0006168272106726188,0.9992877492877493,0.0006168272106726188,0.9993894993894994,0.0005287090377193715,0.9993894993894994,0.0005287090377193715,0.9992877492877493,0.0006168272106726188,0.9992827685135377,0.0006211406876704263,0.9992877492877493,0.0006168272106726188,-1.0,0.0,0.7109686609686611,0.018501526282582923,0.7585470085470085,0.013344012817090627,0.7657142857142857,0.015118578920369061,0.8593304843304844,0.011222187504692732,0.8612698412698413,0.012930420225026181,0.7657142857142857,0.015118578920369061,0.7200000000000001,0.020785482462024742,0.7585470085470085,0.013344012817090627,-1.0,0.0
xgb-portion0.4_5_same_as_zurich_oversampled_t70_trainnoise-1_testnoise-2_thresh-2,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.7059116809116809,0.030665433106202924,0.7510683760683761,0.02908260168550469,0.7638095238095238,0.02818790207037857,0.8552350427350427,0.020151000121645196,0.8531746031746031,0.0188100261134458,0.7638095238095238,0.02818790207037857,0.7190476190476192,0.029038093676302983,0.7510683760683761,0.02908260168550469,-1.0,0.0
svm8_same_as_zurich_oversampled_t70_trainnoise-1_testnoise-2_thresh-2,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.6958396178984415,0.0,0.7147435897435898,0.0,0.7257142857142856,0.0,0.9245459401709404,0.0,0.9235714285714286,0.0,0.7257142857142856,0.0,0.708201680672269,0.0,0.7147435897435898,0.0,-1.0,0.0
rf3_200_same_as_zurich_oversampled_t70_trainnoise-1_testnoise-2_thresh-2,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.6626068376068376,0.006381702787635908,0.7211538461538461,0.0032051282051281937,0.7180952380952381,0.006598288790738595,0.8208689458689458,0.004479966390815192,0.8288888888888889,0.009014140231428974,0.7180952380952381,0.006598288790738595,0.6696507936507935,0.008084212846931834,0.7211538461538461,0.0032051282051281937,-1.0,0.0
xgb-portion0.6_5_same_as_zurich_oversampled_t70_trainnoise-1_testnoise-2_thresh-2,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.655128205128205,0.00865582440193555,0.7136752136752137,0.006672006408545273,0.7161904761904762,0.006598288790738627,0.8310185185185185,0.005711899904681513,0.8334920634920634,0.005136091964242458,0.7161904761904762,0.006598288790738627,0.664126984126984,0.010222616575258404,0.7136752136752137,0.006672006408545273,-1.0,0.0
nb3_same_as_zurich_oversampled_t70_trainnoise-1_testnoise-2_thresh-2,0.991417556802172,0.0,0.9914529914529914,0.0,0.9914529914529916,0.0,0.9931318681318683,0.0,0.9931318681318682,0.0,0.9914529914529916,0.0,0.991417556802172,0.0,0.9914529914529914,0.0,-1.0,0.0,0.6461538461538461,0.0,0.701923076923077,0.0,0.7028571428571428,0.0,0.8317307692307693,0.0,0.8323809523809523,0.0,0.7028571428571428,0.0,0.6521904761904761,0.0,0.701923076923077,0.0,-1.0,0.0
lr-lbfgs3_same_as_zurich_oversampled_t70_trainnoise-1_testnoise-2_thresh-2,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.6367521367521367,0.0,0.6858974358974358,0.0,0.6914285714285714,0.0,0.8301282051282052,0.0,0.8319047619047618,0.0,0.6914285714285714,0.0,0.6500952380952381,0.0,0.6858974358974358,0.0,-1.0,0.0
rf3_100_same_as_zurich_oversampled_t70_trainnoise-1_testnoise-2_thresh-2,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.6257122507122507,0.0008896008544727188,0.6869658119658121,0.004895914204012632,0.6876190476190476,0.0032991443953692815,0.8082264957264957,0.012561940188359969,0.8144444444444444,0.011431877828591102,0.6876190476190476,0.0032991443953692815,0.6335873015873016,0.002478631275675255,0.6869658119658121,0.004895914204012632,-1.0,0.0
