name,train_macro_f1-score,train_macro_f1-score,train_macro_recall,train_macro_recall,train_micro_accuracy,train_micro_accuracy,train_macro_precision,train_macro_precision,train_weighted_precision,train_weighted_precision,train_weighted_recall,train_weighted_recall,train_weighted_f1-score,train_weighted_f1-score,train_balanced_accuracy,train_balanced_accuracy,train_macro_ovr_roc_auc_score,train_macro_ovr_roc_auc_score,test_macro_f1-score,test_macro_f1-score,test_macro_recall,test_macro_recall,test_micro_accuracy,test_micro_accuracy,test_macro_precision,test_macro_precision,test_weighted_precision,test_weighted_precision,test_weighted_recall,test_weighted_recall,test_weighted_f1-score,test_weighted_f1-score,test_balanced_accuracy,test_balanced_accuracy,test_macro_ovr_roc_auc_score,test_macro_ovr_roc_auc_score
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
lr-lbfgs5_same_as_zurich_oversampled_t70_trainnoise-2_testnoise-0_thresh-2,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.9262820512820512,0.0,0.9423076923076924,0.0,0.9485714285714287,0.0,0.9700854700854699,0.0,0.9733333333333332,0.0,0.9485714285714287,0.0,0.9342857142857145,0.0,0.9423076923076924,0.0,-1.0,0.0
nb5_same_as_zurich_oversampled_t70_trainnoise-2_testnoise-0_thresh-2,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.892094017094017,0.0,0.9166666666666666,0.0,0.9257142857142856,0.0,0.9572649572649571,0.0,0.9619047619047617,0.0,0.9257142857142856,0.0,0.9038095238095236,0.0,0.9166666666666666,0.0,-1.0,0.0
svm5_same_as_zurich_oversampled_t70_trainnoise-2_testnoise-0_thresh-2,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.8963675213675213,0.0,0.9198717948717948,0.0,0.9257142857142856,0.0,0.9572649572649571,0.0,0.9619047619047617,0.0,0.9257142857142856,0.0,0.9057142857142856,0.0,0.9198717948717948,0.0,-1.0,0.0
lr-lbfgs8_same_as_zurich_oversampled_t70_trainnoise-2_testnoise-0_thresh-2,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.9027777777777776,0.0,0.9230769230769232,0.0,0.9257142857142856,0.0,0.9615384615384616,0.0,0.9657142857142856,0.0,0.9257142857142856,0.0,0.9095238095238095,0.0,0.9230769230769232,0.0,-1.0,0.0
nb8_same_as_zurich_oversampled_t70_trainnoise-2_testnoise-0_thresh-2,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.893162393162393,0.0,0.9166666666666666,0.0,0.92,0.0,0.9561965811965812,0.0,0.9609523809523809,0.0,0.92,0.0,0.900952380952381,0.0,0.9166666666666666,0.0,-1.0,0.0
xgb-portion0.2_5_same_as_zurich_oversampled_t70_trainnoise-2_testnoise-0_thresh-2,0.9975131705900937,0.001651552622784629,0.9975071225071225,0.0016319714013376804,0.9975071225071225,0.0016319714013376804,0.9979395604395606,0.001429715658974065,0.9979395604395606,0.001429715658974065,0.9975071225071225,0.0016319714013376804,0.9975131705900937,0.0016515526227844593,0.9975071225071225,0.0016319714013376804,-1.0,0.0,0.8696581196581196,0.003317131345354694,0.8963675213675214,0.0037009632640360494,0.9047619047619048,0.003299144395369338,0.9403490028490028,0.002942078283806764,0.9436507936507935,0.0019245008972987672,0.9047619047619048,0.003299144395369338,0.8805079365079364,0.003079201435677997,0.8963675213675214,0.0037009632640360494,-1.0,0.0
rf8_200_same_as_zurich_oversampled_t70_trainnoise-2_testnoise-0_thresh-2,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.8663817663817664,0.0008635580949417518,0.8963675213675214,0.0018504816320180247,0.899047619047619,0.0032991443953692737,0.9478988603988604,0.002404043993125041,0.9506984126984127,0.0010704581142912738,0.899047619047619,0.0032991443953692737,0.8714920634920634,0.0046122515869622795,0.8963675213675214,0.0018504816320180247,-1.0,0.0
svm8_same_as_zurich_oversampled_t70_trainnoise-2_testnoise-0_thresh-2,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.866880341880342,0.0,0.8910256410256411,0.0,0.8971428571428571,0.0,0.9567307692307692,0.0,0.9576190476190476,0.0,0.8971428571428571,0.0,0.8746666666666666,0.0,0.8910256410256411,0.0,-1.0,0.0
xgb-portion0.4_5_same_as_zurich_oversampled_t70_trainnoise-2_testnoise-0_thresh-2,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.8626068376068375,0.012380261484505072,0.8899572649572649,0.0074019265280721785,0.8971428571428571,0.009897433186107876,0.9387464387464387,0.009575733375889543,0.940952380952381,0.010732788256747203,0.8971428571428571,0.009897433186107876,0.8721904761904762,0.012817221974293939,0.8899572649572649,0.0074019265280721785,-1.0,0.0
