name,train_macro_f1-score,train_macro_recall,train_micro_accuracy,train_macro_precision,train_weighted_precision,train_weighted_recall,train_weighted_f1-score,train_balanced_accuracy,train_macro_ovr_roc_auc_score,test_macro_f1-score,test_macro_recall,test_micro_accuracy,test_macro_precision,test_weighted_precision,test_weighted_recall,test_weighted_f1-score,test_balanced_accuracy,test_macro_ovr_roc_auc_score
maximums,,,,,,,,,,,,0.948571429,,,,,,
,,,,,,,,,,,,,,,,,,
nb2_iupac_t70,0.038563962,0.057692308,0.128378378,0.973058028,0.929742951,0.128378378,0.077361633,0.057692308,-1,0.034083614,0.054487179,0.085714286,0.965860275,0.94199089,0.085714286,0.051242405,0.054487179,-1
svm2_iupac_t70,0.996947497,0.996794872,0.996621622,0.998397436,0.997466216,0.996621622,0.996299871,0.996794872,-1,0.870512821,0.894230769,0.897142857,0.939102564,0.940952381,0.897142857,0.876761905,0.894230769,-1
dt2_iupac_t70,0.997435897,0.997863248,0.996621622,0.997863248,0.997747748,0.996621622,0.996621622,0.997863248,-1,0.461752137,0.53525641,0.56,0.705128205,0.712857143,0.56,0.49047619,0.53525641,-1
lr2_iupac_t70,0.974252528,0.97542735,0.97972973,0.990857753,0.984547941,0.97972973,0.975703726,0.97542735,-1,0.844444444,0.871794872,0.88,0.928418803,0.924761905,0.88,0.851238095,0.871794872,-1
xgb2_iupac_t70,0.773458877,0.804487179,0.89527027,0.945131258,0.928579472,0.89527027,0.854741692,0.804487179,-1,0.496581197,0.580128205,0.617142857,0.809508547,0.806380952,0.617142857,0.532761905,0.580128205,-1
knn2_1_iupac_t70,0.996947497,0.996794872,0.996621622,0.998397436,0.997466216,0.996621622,0.996299871,0.996794872,-1,0.877777778,0.900641026,0.902857143,0.938034188,0.935238095,0.902857143,0.881142857,0.900641026,-1
knn2_3_iupac_t70,0.503504402,0.560363248,0.719594595,0.799824481,0.808160393,0.719594595,0.656078381,0.560363248,-1,0.439316239,0.522435897,0.565714286,0.755876068,0.756666667,0.565714286,0.48,0.522435897,-1
knn2_5_iupac_t70,0.390886891,0.453525641,0.641891892,0.812512719,0.770444552,0.641891892,0.549522493,0.453525641,-1,0.333791209,0.432692308,0.485714286,0.775213675,0.75952381,0.485714286,0.375863946,0.432692308,-1
knn2_7_iupac_t70,0.305486999,0.374465812,0.554054054,0.804813705,0.735497714,0.554054054,0.44711171,0.374465812,-1,0.231481481,0.326923077,0.377142857,0.753113553,0.72507483,0.377142857,0.268018141,0.326923077,-1
knn2_9_iupac_t70,0.224860453,0.288995726,0.469594595,0.779580658,0.685767901,0.469594595,0.362766463,0.288995726,-1,0.204961242,0.301282051,0.354285714,0.755469068,0.733124717,0.354285714,0.24417852,0.301282051,-1
rf2_15_iupac_t70,0.996947497,0.996794872,0.996621622,0.998397436,0.997466216,0.996621622,0.996299871,0.996794872,-1,0.717338217,0.762820513,0.777142857,0.86474359,0.859809524,0.777142857,0.729387755,0.762820513,-1
rf2_30_iupac_t70,0.996947497,0.996794872,0.996621622,0.998397436,0.997466216,0.996621622,0.996299871,0.996794872,-1,0.773931624,0.810897436,0.822857143,0.895299145,0.892380952,0.822857143,0.783619048,0.810897436,-1
rf2_45_iupac_t70,0.997435897,0.997863248,0.996621622,0.997863248,0.997747748,0.996621622,0.996621622,0.997863248,-1,0.803846154,0.833333333,0.84,0.909188034,0.901904762,0.84,0.807428571,0.833333333,-1
adbt2_15_5_iupac_t70,0.226868259,0.239316239,0.256756757,0.980104565,0.959642865,0.256756757,0.233285835,0.239316239,-1,0.155333333,0.176282051,0.194285714,0.940008078,0.935900116,0.194285714,0.170270476,0.176282051,-1
adbt2_15_10_iupac_t70,0.710083486,0.717948718,0.733108108,0.979161044,0.965807255,0.733108108,0.718333079,0.717948718,-1,0.436105006,0.474358974,0.485714286,0.86832265,0.864285714,0.485714286,0.451118367,0.474358974,-1
adbt2_15_15_iupac_t70,0.997435897,0.997863248,0.996621622,0.997863248,0.997747748,0.996621622,0.996621622,0.997863248,-1,0.753205128,0.798076923,0.805714286,0.883547009,0.880952381,0.805714286,0.762857143,0.798076923,-1
adbt2_30_5_iupac_t70,0.264798357,0.271367521,0.280405405,0.989080364,0.968768281,0.280405405,0.262853887,0.271367521,-1,0.170290598,0.189102564,0.205714286,0.943213206,0.938757259,0.205714286,0.18360381,0.189102564,-1
adbt2_30_10_iupac_t70,0.718630495,0.724358974,0.739864865,0.982366172,0.969185633,0.739864865,0.727342088,0.724358974,-1,0.449648064,0.487179487,0.497142857,0.875261643,0.876180758,0.497142857,0.463182073,0.487179487,-1
adbt2_30_15_iupac_t70,0.996947497,0.996794872,0.996621622,0.998397436,0.997466216,0.996621622,0.996299871,0.996794872,-1,0.74041514,0.782051282,0.794285714,0.878632479,0.876,0.794285714,0.751482993,0.782051282,-1
adbt2_45_5_iupac_t70,0.264798357,0.271367521,0.280405405,0.989080364,0.968768281,0.280405405,0.262853887,0.271367521,-1,0.176585959,0.195512821,0.211428571,0.943125029,0.938600052,0.211428571,0.189113252,0.195512821,-1
adbt2_45_10_iupac_t70,0.801007326,0.812179487,0.827702703,0.976116939,0.963672195,0.827702703,0.81048906,0.812179487,-1,0.49804992,0.560897436,0.577142857,0.858187646,0.848597403,0.577142857,0.516142334,0.560897436,-1
adbt2_45_15_iupac_t70,0.996947497,0.996794872,0.996621622,0.998397436,0.997466216,0.996621622,0.996299871,0.996794872,-1,0.753876679,0.794871795,0.805714286,0.892521368,0.887428571,0.805714286,0.763102041,0.794871795,-1
nb3_iupac_t70,0.067093461,0.087606838,0.189189189,0.96954266,0.920439753,0.189189189,0.13047666,0.087606838,-1,0.055562847,0.080128205,0.131428571,0.965381514,0.938280184,0.131428571,0.087632047,0.080128205,-1
svm3_iupac_t70,0.996947497,0.996794872,0.996621622,0.998397436,0.997466216,0.996621622,0.996299871,0.996794872,-1,0.920726496,0.935897436,0.937142857,0.959401709,0.959047619,0.937142857,0.923428571,0.935897436,-1
dt3_iupac_t70,0.997435897,0.997863248,0.996621622,0.997863248,0.997747748,0.996621622,0.996621622,0.997863248,-1,0.58525641,0.634615385,0.657142857,0.783867521,0.787809524,0.657142857,0.610095238,0.634615385,-1
lr3_iupac_t70,0.996947497,0.996794872,0.996621622,0.998397436,0.997466216,0.996621622,0.996299871,0.996794872,-1,0.910897436,0.926282051,0.931428571,0.954059829,0.952380952,0.931428571,0.915428571,0.926282051,-1
xgb3_iupac_t70,0.907891112,0.919871795,0.956081081,0.978037241,0.969345238,0.956081081,0.939249414,0.919871795,-1,0.70982906,0.766025641,0.788571429,0.886752137,0.882857143,0.788571429,0.730285714,0.766025641,-1
