val_macro_f1-score,val_macro_recall,val_micro_accuracy,val_macro_precision,val_weighted_precision,val_weighted_recall,val_weighted_f1-score,val_balanced_accuracy,test_macro_f1-score,test_macro_recall,test_micro_accuracy,test_macro_precision,test_weighted_precision,test_weighted_recall,test_weighted_f1-score,test_balanced_accuracy,test_macro_ovr_roc_auc_score,test_time,learning_rate,loss_function,batch_size,optimizer,betas,amsgrad,weight_decay,epochs_taken,train_insertions,train_deletions,train_mutation_rate,model_name,oversample,confidence_threshold,seq_count_threshold,seq_len,test_insertions,test_deletions,test_mutation_rate,tag_and_primer,reverse_complements,k_folds,k_iters,encoding_mode,test_split,load_existing_train_test,layer1_input_channels,layer1_output_channels,layer1_conv_kernel,layer1_stride,layer1_padding,layer1_dropout,layer1_pool_kernel,layer2_input_channels,layer2_output_channels,layer2_conv_kernel,layer2_stride,layer2_padding,layer2_dropout,layer2_pool_kernel,datetime,trials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.984313725,0.992156863,0.963693253,0.992156863,1,0.993220339,0.993220339,0.991836735,0.882478632,0.903846154,0.902857143,0.941239316,0.944761905,0.902857143,0.886666667,0.903846154,0.996094049,0.023185968,0.0008,CrossEntropyLoss,64,Adam,"(0.9, 0.999)",FALSE,0,23,"[0, 2]","[0, 2]",0.05,VariableCNN,FALSE,,2,60,"[1, 1]","[1, 1]",0.02,FALSE,FALSE,5,5,probability,0.3,TRUE,4,512,5,1,0,0.7,2,512,64,6,1,1,0.1,3,20240104_121902,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,0.963693253,1,1,1,1,1,0.922008547,0.939102564,0.937142857,0.96474359,0.965714286,0.937142857,0.921904762,0.939102564,0.991174451,0.036995888,0.002,CrossEntropyLoss,10,Adam,"(0.9, 0.999)",FALSE,0,11,"[0, 2]","[0, 2]",0.05,VariableCNN,FALSE,,2,60,"[1, 1]","[1, 1]",0.02,FALSE,FALSE,5,5,probability,0.3,TRUE,4,256,7,1,1,0.5,0,256,512,6,1,1,0.5,2,20240104_123200,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.986928105,0.994117647,0.963693253,0.992156863,1,0.993220339,0.994350282,0.993877551,0.897222222,0.916666667,0.92,0.952991453,0.953333333,0.92,0.90247619,0.916666667,0.998469307,0.02078414,0.0008,CrossEntropyLoss,64,Adam,"(0.9, 0.999)",FALSE,0,19,"[0, 2]","[0, 2]",0.05,VariableCNN,FALSE,,2,60,"[1, 1]","[1, 1]",0.02,FALSE,FALSE,5,5,probability,0.3,TRUE,4,512,6,1,0,0.3,2,512,342,7,2,0,0.3,3,20240104_141840,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,0.963693253,1,1,1,1,1,0.896367521,0.913461538,0.914285714,0.945512821,0.948571429,0.914285714,0.899047619,0.913461538,0.991102048,0.02836132,0.002,CrossEntropyLoss,10,Adam,"(0.9, 0.999)",FALSE,0,14,"[0, 2]","[0, 2]",0.05,VariableCNN,FALSE,,2,60,"[1, 1]","[1, 1]",0.02,FALSE,FALSE,5,5,probability,0.3,TRUE,4,256,8,2,1,0,0,256,612,6,1,2,0.3,0,20240104_161250,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,0.963693253,1,1,1,1,1,0.923076923,0.939102564,0.942857143,0.961538462,0.965714286,0.942857143,0.92952381,0.939102564,0.994105511,0.02906847,0.002,CrossEntropyLoss,16,Adam,"(0.9, 0.999)",FALSE,0,15,"[0, 2]","[0, 2]",0.05,VariableCNN,FALSE,,2,60,"[1, 1]","[1, 1]",0.02,FALSE,FALSE,5,5,probability,0.3,TRUE,4,612,7,2,0,0.6,2,612,342,8,1,1,0.3,0,20240104_162103,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,0.963693253,1,1,1,1,1,0.923931624,0.942307692,0.942857143,0.969017094,0.97047619,0.942857143,0.927238095,0.942307692,0.988614352,0.025577784,0.006,CrossEntropyLoss,16,Adam,"(0.9, 0.999)",FALSE,0,11,"[0, 2]","[0, 2]",0.05,VariableCNN,TRUE,,2,60,"[1, 1]","[1, 1]",0.02,FALSE,FALSE,5,5,probability,0.3,TRUE,4,128,6,1,2,0.1,2,128,342,9,1,2,0.3,2,20240104_163010,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,0.963693253,1,1,1,1,1,0.900854701,0.916666667,0.92,0.951923077,0.951428571,0.92,0.905142857,0.916666667,0.994795899,0.025525808,0.0008,CrossEntropyLoss,16,Adam,"(0.9, 0.999)",FALSE,0,13,"[0, 2]","[0, 2]",0.05,VariableCNN,FALSE,,2,60,"[1, 1]","[1, 1]",0.02,FALSE,FALSE,5,5,probability,0.3,TRUE,4,128,6,1,2,0.2,0,128,512,9,1,2,0.6,2,20240104_165603,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,0.963693253,1,1,1,1,1,0.900213675,0.916666667,0.92,0.950854701,0.94952381,0.92,0.904,0.916666667,0.995615974,0.025045156,0.004,CrossEntropyLoss,16,Adam,"(0.9, 0.999)",FALSE,0,13,"[0, 2]","[0, 2]",0.05,VariableCNN,FALSE,,2,60,"[1, 1]","[1, 1]",0.02,FALSE,FALSE,5,5,probability,0.3,TRUE,4,342,7,1,0,0.3,3,342,128,6,2,0,0.2,0,20240104_172127,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.960834519,0.981294452,0.963693253,0.978662873,1,0.981395349,0.982945736,0.980555556,0.897863248,0.923076923,0.92,0.959935897,0.964285714,0.92,0.899428571,0.923076923,0.99085183,0.020255327,0.005,CrossEntropyLoss,48,Adam,"(0.9, 0.999)",FALSE,0,15,"[0, 2]","[0, 2]",0.05,VariableCNN,TRUE,,2,60,"[1, 1]","[1, 1]",0.02,FALSE,FALSE,5,5,probability,0.3,TRUE,4,196,5,2,0,0.2,0,196,612,6,2,0,0.7,0,20240104_180157,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.96,0.98,0.963693253,0.98,1,0.981818182,0.981818182,0.977777778,0.927777778,0.942307692,0.942857143,0.966880342,0.966666667,0.942857143,0.930285714,0.942307692,0.998028498,0.025280952,0.001,CrossEntropyLoss,16,Adam,"(0.9, 0.999)",FALSE,0,15,"[0, 2]","[0, 2]",0.05,VariableCNN,TRUE,,2,60,"[1, 1]","[1, 1]",0.02,FALSE,FALSE,5,5,probability,0.3,TRUE,4,64,5,1,0,0.4,3,64,256,5,1,2,0,2,20240104_210726,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.944444444,0.975,0.963687564,0.966666667,1,0.970634921,0.975485009,0.973913043,0.903632479,0.923076923,0.925714286,0.959401709,0.959047619,0.925714286,0.908190476,0.923076923,0.997346628,0.020808935,0.004,CrossEntropyLoss,32,Adam,"(0.9, 0.999)",FALSE,0,13,"[0, 2]","[0, 2]",0.05,VariableCNN,FALSE,,2,60,"[1, 1]","[1, 1]",0.02,FALSE,FALSE,5,5,probability,0.3,TRUE,4,612,8,2,2,0.5,2,,,,,,,,20240103_015405,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,0.963687564,1,1,1,1,1,0.902991453,0.919871795,0.92,0.951923077,0.951428571,0.92,0.903238095,0.919871795,0.99740157,0.021810293,0.007,CrossEntropyLoss,16,Adam,"(0.9, 0.999)",FALSE,0,10,"[0, 2]","[0, 2]",0.05,VariableCNN,TRUE,,2,60,"[1, 1]","[1, 1]",0.02,FALSE,FALSE,5,5,probability,0.3,TRUE,4,64,9,1,1,0.4,2,,,,,,,,20240103_030234,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.960470588,0.980235294,0.963687564,0.980235294,1,0.983050847,0.983050847,0.979673469,0.947435897,0.958333333,0.96,0.97542735,0.976190476,0.96,0.950095238,0.958333333,0.99727316,0.018426418,0.007,CrossEntropyLoss,64,Adam,"(0.9, 0.999)",FALSE,0,15,"[0, 2]","[0, 2]",0.05,VariableCNN,FALSE,,2,60,"[1, 1]","[1, 1]",0.02,FALSE,FALSE,5,5,probability,0.3,TRUE,4,128,7,2,0,0.5,3,,,,,,,,20240103_033255,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.971171171,0.986486486,0.963687564,0.981081081,0.997727273,0.981606765,0.984707541,0.986111111,0.912179487,0.923076923,0.92,0.942307692,0.940952381,0.92,0.911047619,0.923076923,0.997088319,0.019051552,0.003,CrossEntropyLoss,48,Adam,"(0.9, 0.999)",FALSE,0,17,"[0, 2]","[0, 2]",0.05,VariableCNN,TRUE,,2,60,"[1, 1]","[1, 1]",0.02,FALSE,FALSE,5,5,probability,0.3,TRUE,4,64,9,2,2,0.3,0,,,,,,,,20240103_064109,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,0.963687564,1,1,1,1,1,0.892094017,0.913461538,0.92,0.945512821,0.948571429,0.92,0.900952381,0.913461538,0.995799751,0.026912689,0.008,CrossEntropyLoss,10,Adam,"(0.9, 0.999)",FALSE,0,18,"[0, 2]","[0, 2]",0.05,VariableCNN,FALSE,,2,60,"[1, 1]","[1, 1]",0.02,FALSE,FALSE,5,5,probability,0.3,TRUE,4,128,9,2,1,0.6,3,,,,,,,,20240103_092913,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,0.963687564,1,1,1,1,1,0.919871795,0.932692308,0.931428571,0.958333333,0.96,0.931428571,0.92,0.932692308,0.997862822,0.022256136,0.003,CrossEntropyLoss,16,Adam,"(0.9, 0.999)",FALSE,0,14,"[0, 2]","[0, 2]",0.05,VariableCNN,FALSE,,2,60,"[1, 1]","[1, 1]",0.02,FALSE,FALSE,5,5,probability,0.3,TRUE,4,612,6,1,0,0.8,3,,,,,,,,20240103_105712,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,0.963687564,1,1,1,1,1,0.896153846,0.919871795,0.925714286,0.962606838,0.961904762,0.925714286,0.90247619,0.919871795,0.994841897,0.025768518,0.008,CrossEntropyLoss,10,Adam,"(0.9, 0.999)",FALSE,0,14,"[0, 2]","[0, 2]",0.05,VariableCNN,TRUE,,2,60,"[1, 1]","[1, 1]",0.02,FALSE,FALSE,5,5,probability,0.3,TRUE,4,256,6,1,2,0.6,3,,,,,,,,20240103_111734,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.986666667,0.992,0.963687564,0.994,0.998333333,0.993276836,0.992165725,0.991918367,0.855555556,0.875,0.88,0.91025641,0.90952381,0.88,0.86152381,0.875,0.99196812,0.017492294,0.005,CrossEntropyLoss,64,Adam,"(0.9, 0.999)",FALSE,0,17,"[0, 2]","[0, 2]",0.05,VariableCNN,TRUE,,2,60,"[1, 1]","[1, 1]",0.02,FALSE,FALSE,5,5,probability,0.3,TRUE,4,256,5,2,0,0.4,0,,,,,,,,20240103_164609,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.989189189,0.994594595,0.963687564,0.994594595,1,0.995348837,0.995348837,0.994444444,0.876923077,0.900641026,0.902857143,0.941773504,0.941904762,0.902857143,0.879619048,0.900641026,0.99562364,0.018200874,0.006,CrossEntropyLoss,48,Adam,"(0.9, 0.999)",FALSE,0,15,"[0, 2]","[0, 2]",0.05,VariableCNN,FALSE,,2,60,"[1, 1]","[1, 1]",0.02,FALSE,FALSE,5,5,probability,0.3,TRUE,4,128,6,1,0,0.5,0,,,,,,,,20240103_172819,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.965942029,0.982971014,0.963687564,0.982971014,1,0.985185185,0.985185185,0.982213439,0.903632479,0.923076923,0.92,0.959935897,0.958095238,0.92,0.90152381,0.923076923,0.999096874,0.019211292,0.002,CrossEntropyLoss,32,Adam,"(0.9, 0.999)",FALSE,0,18,"[0, 2]","[0, 2]",0.05,VariableCNN,FALSE,,2,60,"[1, 1]","[1, 1]",0.02,FALSE,FALSE,5,5,probability,0.3,TRUE,4,256,5,1,1,0.5,0,,,,,,,,20240103_173407,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.958343871,0.978192877,0.963687564,0.978953181,0.997740113,0.979717514,0.979472693,0.977673469,0.891880342,0.913461538,0.914285714,0.955128205,0.955238095,0.914285714,0.895809524,0.913461538,0.993275854,0.020246029,0.006,CrossEntropyLoss,64,Adam,"(0.9, 0.999)",FALSE,0,13,"[0, 2]","[0, 2]",0.05,VariableCNN,TRUE,,2,60,"[1, 1]","[1, 1]",0.02,FALSE,FALSE,5,5,probability,0.3,TRUE,4,256,6,1,0,0.4,0,256,64,9,1,1,0,0,20240103_173652,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,0.963687564,1,1,1,1,1,0.894230769,0.913461538,0.92,0.942307692,0.945714286,0.92,0.902857143,0.913461538,0.994952418,0.02499032,0.004,CrossEntropyLoss,16,Adam,"(0.9, 0.999)",FALSE,0,13,"[0, 2]","[0, 2]",0.05,VariableCNN,TRUE,,2,60,"[1, 1]","[1, 1]",0.02,FALSE,FALSE,5,5,probability,0.3,TRUE,4,256,9,1,0,0.4,0,256,64,8,2,2,0.4,0,20240103_191434,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,0.963687564,1,1,1,1,1,0.856837607,0.875,0.88,0.912393162,0.919047619,0.88,0.863809524,0.875,0.994490314,0.030679941,0.007,CrossEntropyLoss,10,Adam,"(0.9, 0.999)",FALSE,0,18,"[0, 2]","[0, 2]",0.05,VariableCNN,FALSE,,2,60,"[1, 1]","[1, 1]",0.02,FALSE,FALSE,5,5,probability,0.3,TRUE,4,64,6,1,1,0.3,0,,,,,,,,20240103_195902,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,0.963687564,1,1,1,1,1,0.886538462,0.907051282,0.908571429,0.943376068,0.944761905,0.908571429,0.891047619,0.907051282,0.996647297,0.026145458,0.003,CrossEntropyLoss,10,Adam,"(0.9, 0.999)",FALSE,0,14,"[0, 2]","[0, 2]",0.05,VariableCNN,FALSE,,2,60,"[1, 1]","[1, 1]",0.02,FALSE,FALSE,5,5,probability,0.3,TRUE,4,512,7,2,1,0.5,3,,,,,,,,20240103_204252,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,0.963687564,1,1,1,1,1,0.894230769,0.91025641,0.914285714,0.939102564,0.942857143,0.914285714,0.900952381,0.91025641,0.993257966,0.027485132,0.001,CrossEntropyLoss,16,Adam,"(0.9, 0.999)",FALSE,0,16,"[0, 2]","[0, 2]",0.05,VariableCNN,FALSE,,2,60,"[1, 1]","[1, 1]",0.02,FALSE,FALSE,5,5,probability,0.3,TRUE,4,612,6,1,1,0.6,0,612,128,7,1,1,0.2,0,20240103_210705,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.978873683,0.990076831,0.963687564,0.986116046,0.998305085,0.986497175,0.988757062,0.989918367,0.916025641,0.932692308,0.931428571,0.965811966,0.965714286,0.931428571,0.916,0.932692308,0.998101327,0.019794226,0.005,CrossEntropyLoss,64,Adam,"(0.9, 0.999)",FALSE,0,16,"[0, 2]","[0, 2]",0.05,VariableCNN,TRUE,,2,60,"[1, 1]","[1, 1]",0.02,FALSE,FALSE,5,5,probability,0.3,TRUE,4,128,6,1,0,0.5,3,128,256,8,2,0,0.1,2,20240103_211527,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.97933635,0.990309201,0.963687564,0.988386124,1,0.989943503,0.991054614,0.99,0.923717949,0.939102564,0.937142857,0.969017094,0.965714286,0.937142857,0.920190476,0.939102564,0.996296992,0.021330118,0.005,CrossEntropyLoss,64,Adam,"(0.9, 0.999)",FALSE,0,10,"[0, 2]","[0, 2]",0.05,VariableCNN,TRUE,,2,60,"[1, 1]","[1, 1]",0.02,FALSE,FALSE,5,5,probability,0.3,TRUE,4,512,6,1,0,0.5,0,512,342,9,2,0,0.2,3,20240103_232422,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,0.963687564,1,1,1,1,1,0.901282051,0.916666667,0.92,0.950854701,0.946666667,0.92,0.904,0.916666667,0.996200525,0.03223896,0.003,CrossEntropyLoss,10,Adam,"(0.9, 0.999)",FALSE,0,16,"[0, 2]","[0, 2]",0.05,VariableCNN,FALSE,,2,60,"[1, 1]","[1, 1]",0.02,FALSE,FALSE,5,5,probability,0.3,TRUE,4,196,6,1,2,0.7,0,,,,,,,,20240104_003410,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.942857143,0.971428571,0.963687564,0.971428571,1,0.971428571,0.971428571,0.966666667,0.898931624,0.916666667,0.914285714,0.943376068,0.94,0.914285714,0.898857143,0.916666667,0.995136408,0.02926302,0.002,CrossEntropyLoss,10,Adam,"(0.9, 0.999)",FALSE,0,14,"[0, 2]","[0, 2]",0.05,VariableCNN,TRUE,,2,60,"[1, 1]","[1, 1]",0.02,FALSE,FALSE,5,5,probability,0.3,TRUE,4,256,9,2,0,0.6,3,256,342,7,1,1,0,0,20240104_005858,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,0.963687564,1,1,1,1,1,0.896367521,0.919871795,0.925714286,0.955128205,0.957142857,0.925714286,0.904761905,0.919871795,0.997604299,0.022160292,0.002,CrossEntropyLoss,16,Adam,"(0.9, 0.999)",FALSE,0,13,"[0, 2]","[0, 2]",0.05,VariableCNN,TRUE,,2,60,"[1, 1]","[1, 1]",0.02,FALSE,FALSE,5,5,probability,0.3,TRUE,4,128,9,1,1,0.6,2,,,,,,,,20240104_031553,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,0.963687564,1,1,1,1,1,0.915598291,0.932692308,0.937142857,0.958333333,0.96,0.937142857,0.921904762,0.932692308,0.997549571,0.029818535,0.001,CrossEntropyLoss,10,Adam,"(0.9, 0.999)",FALSE,0,15,"[0, 2]","[0, 2]",0.05,VariableCNN,FALSE,,2,60,"[1, 1]","[1, 1]",0.02,FALSE,FALSE,5,5,probability,0.3,TRUE,4,256,7,1,0,0.1,0,256,256,5,2,1,0.8,2,20240104_033312,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,0.963687564,1,1,1,1,1,0.907905983,0.926282051,0.931428571,0.956196581,0.956190476,0.931428571,0.913904762,0.926282051,0.994713061,0.026582003,0.006,CrossEntropyLoss,16,Adam,"(0.9, 0.999)",FALSE,0,15,"[0, 2]","[0, 2]",0.05,VariableCNN,FALSE,,2,60,"[1, 1]","[1, 1]",0.02,FALSE,FALSE,5,5,probability,0.3,TRUE,4,342,8,2,0,0.1,3,342,256,8,1,0,0.1,2,20240104_041432,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,0.963687564,1,1,1,1,1,0.920726496,0.939102564,0.942857143,0.969017094,0.967619048,0.942857143,0.925333333,0.939102564,0.99859942,0.026612282,0.004,CrossEntropyLoss,16,Adam,"(0.9, 0.999)",FALSE,0,11,"[0, 2]","[0, 2]",0.05,VariableCNN,TRUE,,2,60,"[1, 1]","[1, 1]",0.02,FALSE,FALSE,5,5,probability,0.3,TRUE,4,342,7,1,0,0.1,2,342,64,8,2,0,0.7,3,20240104_055130,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,0.963687564,1,1,1,1,1,0.928418803,0.942307692,0.942857143,0.963675214,0.967619048,0.942857143,0.932380952,0.942307692,0.998377951,0.021896124,0.008,CrossEntropyLoss,16,Adam,"(0.9, 0.999)",FALSE,0,13,"[0, 2]","[0, 2]",0.05,VariableCNN,TRUE,,2,60,"[1, 1]","[1, 1]",0.02,FALSE,FALSE,5,5,probability,0.3,TRUE,4,196,8,1,2,0.4,3,,,,,,,,20240104_091014,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.989189189,0.994594595,0.963687564,0.994594595,1,0.995348837,0.995348837,0.994444444,0.903846154,0.919871795,0.925714286,0.948717949,0.951428571,0.925714286,0.91047619,0.919871795,0.995983741,0.020553827,0.001,CrossEntropyLoss,48,Adam,"(0.9, 0.999)",FALSE,0,20,"[0, 2]","[0, 2]",0.05,VariableCNN,TRUE,,2,60,"[1, 1]","[1, 1]",0.02,FALSE,FALSE,5,5,probability,0.3,TRUE,4,342,6,1,2,0.6,2,342,128,7,1,0,0.2,3,20240104_111514,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.959333333,0.983666667,0.963687564,0.975666667,1,0.978306878,0.978306878,0.982608696,0.891880342,0.916666667,0.92,0.958333333,0.958095238,0.92,0.897714286,0.916666667,0.998580893,0.022602558,0.0008,CrossEntropyLoss,32,Adam,"(0.9, 0.999)",FALSE,0,16,"[0, 2]","[0, 2]",0.05,VariableCNN,TRUE,,2,60,"[1, 1]","[1, 1]",0.02,FALSE,FALSE,5,5,probability,0.3,TRUE,4,512,6,1,0,0.4,2,512,196,6,2,2,0.1,3,20240104_111845,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.938164251,0.970471014,0.963687564,0.966304348,1,0.970634921,0.973015873,0.96916996,0.936965812,0.948717949,0.948571429,0.971153846,0.971428571,0.948571429,0.939047619,0.948717949,0.998231015,0.019234896,0.007,CrossEntropyLoss,32,Adam,"(0.9, 0.999)",FALSE,0,18,"[0, 2]","[0, 2]",0.05,VariableCNN,FALSE,,2,60,"[1, 1]","[1, 1]",0.02,FALSE,FALSE,5,5,probability,0.3,TRUE,4,64,7,2,0,0.7,3,,,,,,,,20240104_113415,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,0.963687564,1,1,1,1,1,0.915598291,0.926282051,0.931428571,0.948717949,0.951428571,0.931428571,0.921904762,0.926282051,0.998654787,0.025273561,0.001,CrossEntropyLoss,16,Adam,"(0.9, 0.999)",FALSE,0,24,"[0, 2]","[0, 2]",0.05,VariableCNN,FALSE,,2,60,"[1, 1]","[1, 1]",0.02,FALSE,FALSE,5,5,probability,0.3,TRUE,4,512,7,2,0,0,3,512,512,5,2,1,0.7,3,20240104_140551,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.992,0.996,0.963687564,0.996,1,0.996610169,0.996610169,0.995918367,0.903632479,0.923076923,0.931428571,0.958333333,0.960952381,0.931428571,0.912952381,0.923076923,0.997420948,0.019332647,0.002,CrossEntropyLoss,64,Adam,"(0.9, 0.999)",FALSE,0,16,"[0, 2]","[0, 2]",0.05,VariableCNN,TRUE,,2,60,"[1, 1]","[1, 1]",0.02,FALSE,FALSE,5,5,probability,0.3,TRUE,4,256,6,1,0,0.8,2,256,612,6,2,1,0.5,3,20240104_141950,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,0.963687564,1,1,1,1,1,0.89017094,0.913461538,0.914285714,0.951388889,0.954761905,0.914285714,0.893333333,0.913461538,0.994436437,0.025862932,0.002,CrossEntropyLoss,10,Adam,"(0.9, 0.999)",FALSE,0,15,"[0, 2]","[0, 2]",0.05,VariableCNN,TRUE,,2,60,"[1, 1]","[1, 1]",0.02,FALSE,FALSE,5,5,probability,0.3,TRUE,4,612,7,2,1,0.6,2,,,,,,,,20240104_143002,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,0.963687564,1,1,1,1,1,0.924145299,0.939102564,0.937142857,0.961538462,0.957142857,0.937142857,0.923809524,0.939102564,0.99922571,0.02192235,0.003,CrossEntropyLoss,16,Adam,"(0.9, 0.999)",FALSE,0,13,"[0, 2]","[0, 2]",0.05,VariableCNN,FALSE,,2,60,"[1, 1]","[1, 1]",0.02,FALSE,FALSE,5,5,probability,0.3,TRUE,4,612,7,2,2,0.6,3,,,,,,,,20240104_162658,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,0.963687564,1,1,1,1,1,0.91965812,0.935897436,0.942857143,0.962606838,0.964761905,0.942857143,0.927238095,0.935897436,0.997623678,0.025038719,0.004,CrossEntropyLoss,16,Adam,"(0.9, 0.999)",FALSE,0,16,"[0, 2]","[0, 2]",0.05,VariableCNN,TRUE,,2,60,"[1, 1]","[1, 1]",0.02,FALSE,FALSE,5,5,probability,0.3,TRUE,4,128,8,1,0,0.7,2,128,128,7,2,2,0.4,2,20240104_170402,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.983333333,0.991666667,0.963687564,0.991666667,1,0.992592593,0.992592593,0.991304348,0.900641026,0.919871795,0.925714286,0.948717949,0.951428571,0.925714286,0.908571429,0.919871795,0.998249541,0.022896767,0.001,CrossEntropyLoss,32,Adam,"(0.9, 0.999)",FALSE,0,18,"[0, 2]","[0, 2]",0.05,VariableCNN,TRUE,,2,60,"[1, 1]","[1, 1]",0.02,FALSE,FALSE,5,5,probability,0.3,TRUE,4,256,7,1,0,0.5,3,256,512,8,1,2,0.3,2,20240104_173722,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
