val_macro_f1-score,val_macro_recall,val_micro_accuracy,val_macro_precision,val_weighted_precision,val_weighted_recall,val_weighted_f1-score,val_balanced_accuracy,test_macro_f1-score,test_macro_recall,test_micro_accuracy,test_macro_precision,test_weighted_precision,test_weighted_recall,test_weighted_f1-score,test_balanced_accuracy,test_macro_ovr_roc_auc_score,test_time,learning_rate,loss_function,batch_size,optimizer,betas,amsgrad,weight_decay,epochs_taken,train_insertions,train_deletions,train_mutation_rate,model_name,oversample,confidence_threshold,seq_count_threshold,seq_len,test_insertions,test_deletions,test_mutation_rate,tag_and_primer,reverse_complements,k_folds,k_iters,encoding_mode,test_split,load_existing_train_test,layer1_input_channels,layer1_output_channels,layer1_conv_kernel,layer1_stride,layer1_padding,layer1_dropout,layer1_pool_kernel,layer2_input_channels,layer2_output_channels,layer2_conv_kernel,layer2_stride,layer2_padding,layer2_dropout,layer2_pool_kernel,datetime,trials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,0.981846626,1,1,1,1,1,0.90491453,0.926282051,0.931428571,0.958333333,0.96,0.931428571,0.912380952,0.926282051,0.998267003,0.019423246,0.005,CrossEntropyLoss,32,Adam,"(0.9, 0.999)",FALSE,0,14,"[0, 2]","[0, 2]",0.05,VariableCNN,TRUE,,2,60,"[1, 1]","[1, 1]",0.02,FALSE,FALSE,5,5,probability,0.3,TRUE,4,612,6,1,2,0.1,2,,,,,,,,20240104_005109,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,0.981840938,1,1,1,1,1,0.892094017,0.913461538,0.92,0.945512821,0.948571429,0.92,0.900952381,0.913461538,0.996499721,0.022724628,0.004,CrossEntropyLoss,16,Adam,"(0.9, 0.999)",FALSE,0,14,"[0, 2]","[0, 2]",0.05,VariableCNN,TRUE,,2,60,"[1, 1]","[1, 1]",0.02,FALSE,FALSE,5,5,probability,0.3,TRUE,4,256,9,1,2,0,2,,,,,,,,20240103_034047,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,0.980805552,1,1,1,1,1,0.917735043,0.932692308,0.937142857,0.955128205,0.957142857,0.937142857,0.923809524,0.932692308,0.997273586,0.03237009,0.001,CrossEntropyLoss,10,Adam,"(0.9, 0.999)",FALSE,0,15,"[0, 2]","[0, 2]",0.05,VariableCNN,FALSE,,2,60,"[1, 1]","[1, 1]",0.02,FALSE,FALSE,5,5,probability,0.3,TRUE,4,612,9,1,2,0.5,2,612,512,5,1,2,0.1,2,20240103_074802,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,0.980788486,1,1,1,1,1,0.944444444,0.955128205,0.954285714,0.973290598,0.973333333,0.954285714,0.945714286,0.955128205,0.996997175,0.025747061,0.002,CrossEntropyLoss,16,Adam,"(0.9, 0.999)",FALSE,0,15,"[0, 2]","[0, 2]",0.05,VariableCNN,TRUE,,2,60,"[1, 1]","[1, 1]",0.02,FALSE,FALSE,5,5,probability,0.3,TRUE,4,128,6,1,0,0.2,3,128,512,8,1,0,0.7,3,20240103_094537,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,0.980782797,1,1,1,1,1,0.904700855,0.919871795,0.92,0.951923077,0.952380952,0.92,0.907238095,0.919871795,0.998931411,0.021929264,0.004,CrossEntropyLoss,16,Adam,"(0.9, 0.999)",FALSE,0,15,"[0, 2]","[0, 2]",0.05,VariableCNN,FALSE,,2,60,"[1, 1]","[1, 1]",0.02,FALSE,FALSE,5,5,probability,0.3,TRUE,4,64,6,1,1,0.2,3,,,,,,,,20240104_105836,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.992156863,0.996078431,0.980782797,0.996078431,1,0.996610169,0.996610169,0.996,0.93482906,0.948717949,0.948571429,0.967948718,0.968571429,0.948571429,0.937142857,0.948717949,0.99889457,0.03047061,0.002,CrossEntropyLoss,64,Adam,"(0.9, 0.999)",FALSE,0,18,"[0, 2]","[0, 2]",0.05,VariableCNN,TRUE,,2,60,"[1, 1]","[1, 1]",0.02,FALSE,FALSE,5,5,probability,0.3,TRUE,4,612,9,1,1,0.2,0,612,64,9,1,2,0.5,3,20240103_172737,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,0.980782797,1,1,1,1,1,0.89957265,0.919871795,0.925714286,0.948717949,0.954285714,0.925714286,0.908571429,0.919871795,0.998544479,0.017888546,0.007,CrossEntropyLoss,64,Adam,"(0.9, 0.999)",FALSE,0,13,"[0, 2]","[0, 2]",0.05,VariableCNN,FALSE,,2,60,"[1, 1]","[1, 1]",0.02,FALSE,FALSE,5,5,probability,0.3,TRUE,4,196,8,1,2,0,3,,,,,,,,20240103_164922,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,0.980782797,1,1,1,1,1,0.911324786,0.929487179,0.931428571,0.961538462,0.962857143,0.931428571,0.916190476,0.929487179,0.997216302,0.024705172,0.005,CrossEntropyLoss,48,Adam,"(0.9, 0.999)",FALSE,0,12,"[0, 2]","[0, 2]",0.05,VariableCNN,TRUE,,2,60,"[1, 1]","[1, 1]",0.02,FALSE,FALSE,5,5,probability,0.3,TRUE,4,612,7,1,0,0.1,2,612,612,7,2,2,0.7,2,20240103_122629,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,0.980782797,1,1,1,1,1,0.911324786,0.923076923,0.925714286,0.945512821,0.948571429,0.925714286,0.916190476,0.923076923,0.998139233,0.021868229,0.004,CrossEntropyLoss,16,Adam,"(0.9, 0.999)",FALSE,0,14,"[0, 2]","[0, 2]",0.05,VariableCNN,TRUE,,2,60,"[1, 1]","[1, 1]",0.02,FALSE,FALSE,5,5,probability,0.3,TRUE,4,256,8,1,0,0.3,3,,,,,,,,20240103_093501,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.986771242,0.994039216,0.980782797,0.992078431,1,0.993276836,0.994387947,0.993918367,0.930555556,0.945512821,0.948571429,0.967948718,0.968571429,0.948571429,0.935238095,0.945512821,0.998028924,0.019216776,0.005,CrossEntropyLoss,64,Adam,"(0.9, 0.999)",FALSE,0,17,"[0, 2]","[0, 2]",0.05,VariableCNN,TRUE,,2,60,"[1, 1]","[1, 1]",0.02,FALSE,FALSE,5,5,probability,0.3,TRUE,4,342,9,1,0,0,3,342,128,5,1,2,0.6,3,20240103_084754,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,0.980777108,1,1,1,1,1,0.913247863,0.932692308,0.925714286,0.963675214,0.965714286,0.925714286,0.912,0.932692308,0.995228403,0.02644372,0.002,CrossEntropyLoss,16,Adam,"(0.9, 0.999)",FALSE,0,13,"[0, 2]","[0, 2]",0.05,VariableCNN,TRUE,,2,60,"[1, 1]","[1, 1]",0.02,FALSE,FALSE,5,5,probability,0.3,TRUE,4,612,9,1,0,0.1,2,612,256,5,1,1,0.5,0,20240103_111255,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,0.980777108,1,1,1,1,1,0.904700855,0.916666667,0.908571429,0.942307692,0.943809524,0.908571429,0.899619048,0.916666667,0.998231228,0.022077322,0.001,CrossEntropyLoss,16,Adam,"(0.9, 0.999)",FALSE,0,15,"[0, 2]","[0, 2]",0.05,VariableCNN,TRUE,,2,60,"[1, 1]","[1, 1]",0.02,FALSE,FALSE,5,5,probability,0.3,TRUE,4,512,9,1,0,0.2,2,,,,,,,,20240103_223557,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,0.980771419,1,1,1,1,1,0.912179487,0.932692308,0.937142857,0.965811966,0.964761905,0.937142857,0.917714286,0.932692308,0.996076162,0.021879673,0.005,CrossEntropyLoss,16,Adam,"(0.9, 0.999)",FALSE,0,15,"[0, 2]","[0, 2]",0.05,VariableCNN,TRUE,,2,60,"[1, 1]","[1, 1]",0.02,FALSE,FALSE,5,5,probability,0.3,TRUE,4,64,7,1,2,0.1,2,,,,,,,,20240104_043708,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
