name,train_macro_f1-score,train_macro_f1-score,train_macro_recall,train_macro_recall,train_micro_accuracy,train_micro_accuracy,train_macro_precision,train_macro_precision,train_weighted_precision,train_weighted_precision,train_weighted_recall,train_weighted_recall,train_weighted_f1-score,train_weighted_f1-score,train_balanced_accuracy,train_balanced_accuracy,train_macro_ovr_roc_auc_score,train_macro_ovr_roc_auc_score,test_macro_f1-score,test_macro_f1-score,test_macro_recall,test_macro_recall,test_micro_accuracy,test_micro_accuracy,test_macro_precision,test_macro_precision,test_weighted_precision,test_weighted_precision,test_weighted_recall,test_weighted_recall,test_weighted_f1-score,test_weighted_f1-score,test_balanced_accuracy,test_balanced_accuracy,test_macro_ovr_roc_auc_score,test_macro_ovr_roc_auc_score
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
lr-lbfgs5_same_as_zurich_oversampled_t70_trainnoise-2_testnoise-1_thresh-2,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.8908119658119659,0.0,0.9134615384615384,0.0,0.9142857142857143,0.0,0.9487179487179488,0.0,0.9523809523809524,0.0,0.9142857142857143,0.0,0.8958095238095237,0.0,0.9134615384615384,0.0,-1.0,0.0
nb5_same_as_zurich_oversampled_t70_trainnoise-2_testnoise-1_thresh-2,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.8696581196581196,0.0,0.8974358974358975,0.0,0.8971428571428571,0.0,0.9326923076923076,0.0,0.94,0.0,0.8971428571428571,0.0,0.8761904761904761,0.0,0.8974358974358975,0.0,-1.0,0.0
lr-lbfgs8_same_as_zurich_oversampled_t70_trainnoise-2_testnoise-1_thresh-2,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.8634920634920634,0.0,0.8910256410256411,0.0,0.8971428571428571,0.0,0.9502136752136753,0.0,0.9502857142857142,0.0,0.8971428571428571,0.0,0.8709115646258504,0.0,0.8910256410256411,0.0,-1.0,0.0
nb8_same_as_zurich_oversampled_t70_trainnoise-2_testnoise-1_thresh-2,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.8621794871794872,0.0,0.8910256410256411,0.0,0.8914285714285715,0.0,0.939102564102564,0.0,0.9457142857142856,0.0,0.8914285714285715,0.0,0.8695238095238095,0.0,0.8910256410256411,0.0,-1.0,0.0
svm5_same_as_zurich_oversampled_t70_trainnoise-2_testnoise-1_thresh-2,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.8589743589743589,0.0,0.8878205128205128,0.0,0.8914285714285715,0.0,0.9326923076923076,0.0,0.9371428571428572,0.0,0.8914285714285715,0.0,0.8666666666666668,0.0,0.8878205128205128,0.0,-1.0,0.0
rf5_200_same_as_zurich_oversampled_t70_trainnoise-2_testnoise-1_thresh-2,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.8178062678062678,0.013272539283179566,0.8557692307692308,0.013970829947245807,0.8552380952380952,0.017457431218879462,0.915954415954416,0.009694200561834872,0.9212698412698411,0.010183501544346356,0.8552380952380952,0.017457431218879462,0.8243809523809524,0.014412139000401471,0.8557692307692308,0.013970829947245807,-1.0,0.0
xgb-portion0.2_5_same_as_zurich_oversampled_t70_trainnoise-2_testnoise-1_thresh-2,0.9975131705900937,0.001651552622784629,0.9975071225071225,0.0016319714013376804,0.9975071225071225,0.0016319714013376804,0.9979395604395606,0.001429715658974065,0.9979395604395606,0.001429715658974065,0.9975071225071225,0.0016319714013376804,0.9975131705900937,0.0016515526227844593,0.9975071225071225,0.0016319714013376804,-1.0,0.0,0.7786324786324786,0.021457077283133702,0.8162393162393163,0.019319595427377274,0.8209523809523809,0.017457431218879407,0.8874643874643874,0.013528076861269658,0.8895238095238095,0.010033955955097798,0.8209523809523809,0.017457431218879407,0.7881904761904761,0.01883789301254071,0.8162393162393163,0.019319595427377274,-1.0,0.0
rf5_100_same_as_zurich_oversampled_t70_trainnoise-2_testnoise-1_thresh-2,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.7584757834757836,0.019845738515595814,0.8066239316239315,0.016132124861689662,0.8095238095238096,0.011895234282663557,0.8869301994301995,0.009133417808569909,0.8953968253968253,0.007594205532638427,0.8095238095238096,0.011895234282663557,0.7689523809523809,0.014289523301722685,0.8066239316239315,0.016132124861689662,-1.0,0.0
svm8_same_as_zurich_oversampled_t70_trainnoise-2_testnoise-1_thresh-2,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.773422090729783,0.0,0.798076923076923,0.0,0.8057142857142857,0.0,0.9545940170940174,0.0,0.9542857142857143,0.0,0.8057142857142857,0.0,0.7817582417582417,0.0,0.798076923076923,0.0,-1.0,0.0
xgb-portion0.4_5_same_as_zurich_oversampled_t70_trainnoise-2_testnoise-1_thresh-2,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.7508547008547009,0.028896758398133184,0.8023504273504273,0.024268839084616578,0.8038095238095239,0.021633936555429695,0.8830128205128206,0.01424390130980065,0.8887301587301587,0.01430422081702325,0.8038095238095239,0.021633936555429695,0.7588571428571429,0.02602005157374264,0.8023504273504273,0.024268839084616578,-1.0,0.0
rf8_200_same_as_zurich_oversampled_t70_trainnoise-2_testnoise-1_thresh-2,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.7528591778591779,0.013492282183948701,0.8034188034188033,0.009791828408025324,0.8019047619047619,0.008728715609439679,0.8940883190883192,0.0088953669825153,0.8996825396825395,0.00642580775397194,0.8019047619047619,0.008728715609439679,0.7594467120181405,0.01155198455414951,0.8034188034188033,0.009791828408025324,-1.0,0.0
