name,train_macro_f1-score,train_macro_recall,train_micro_accuracy,train_macro_precision,train_weighted_precision,train_weighted_recall,train_weighted_f1-score,train_balanced_accuracy,train_macro_ovr_roc_auc_score,test_macro_f1-score,test_macro_recall,test_micro_accuracy,test_macro_precision,test_weighted_precision,test_weighted_recall,test_weighted_f1-score,test_balanced_accuracy,test_macro_ovr_roc_auc_score
lr-lbfgs3_oversampled_t70_trainnoise-1_testnoise-2_thresh-2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1,0.6290598290598292,0.6762820512820513,0.6685714285714286,0.7868589743589743,0.7842857142857143,0.6685714285714286,0.6306666666666667,0.6762820512820513,-1
lr-lbfgs5_oversampled_t70_trainnoise-1_testnoise-2_thresh-2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1,0.8438034188034188,0.875,0.8742857142857143,0.9273504273504272,0.9190476190476188,0.8742857142857143,0.8434285714285714,0.875,-1
lr-lbfgs8_oversampled_t70_trainnoise-1_testnoise-2_thresh-2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1,0.8508547008547007,0.8846153846153846,0.8857142857142857,0.935897435897436,0.9371428571428572,0.8857142857142857,0.8560000000000001,0.8846153846153846,-1
lr-lbfgs3_oversampled_t70_trainnoise-1_testnoise-2_thresh-2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1,0.6290598290598292,0.6762820512820513,0.6685714285714286,0.7868589743589743,0.7842857142857143,0.6685714285714286,0.6306666666666667,0.6762820512820513,-1
lr-lbfgs5_oversampled_t70_trainnoise-1_testnoise-2_thresh-2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1,0.8438034188034188,0.875,0.8742857142857143,0.9273504273504272,0.9190476190476188,0.8742857142857143,0.8434285714285714,0.875,-1
lr-lbfgs8_oversampled_t70_trainnoise-1_testnoise-2_thresh-2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1,0.8508547008547007,0.8846153846153846,0.8857142857142857,0.935897435897436,0.9371428571428572,0.8857142857142857,0.8560000000000001,0.8846153846153846,-1
lr-lbfgs3_oversampled_t70_trainnoise-1_testnoise-2_thresh-2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1,0.6290598290598292,0.6762820512820513,0.6685714285714286,0.7868589743589743,0.7842857142857143,0.6685714285714286,0.6306666666666667,0.6762820512820513,-1
lr-lbfgs5_oversampled_t70_trainnoise-1_testnoise-2_thresh-2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1,0.8438034188034188,0.875,0.8742857142857143,0.9273504273504272,0.9190476190476188,0.8742857142857143,0.8434285714285714,0.875,-1
lr-lbfgs8_oversampled_t70_trainnoise-1_testnoise-2_thresh-2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1,0.8508547008547007,0.8846153846153846,0.8857142857142857,0.935897435897436,0.9371428571428572,0.8857142857142857,0.8560000000000001,0.8846153846153846,-1
lr-lbfgs3_oversampled_t70_trainnoise-1_testnoise-2_thresh-2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1,0.6290598290598292,0.6762820512820513,0.6685714285714286,0.7868589743589743,0.7842857142857143,0.6685714285714286,0.6306666666666667,0.6762820512820513,-1
lr-lbfgs5_oversampled_t70_trainnoise-1_testnoise-2_thresh-2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1,0.8438034188034188,0.875,0.8742857142857143,0.9273504273504272,0.9190476190476188,0.8742857142857143,0.8434285714285714,0.875,-1
lr-lbfgs8_oversampled_t70_trainnoise-1_testnoise-2_thresh-2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1,0.8508547008547007,0.8846153846153846,0.8857142857142857,0.935897435897436,0.9371428571428572,0.8857142857142857,0.8560000000000001,0.8846153846153846,-1
lr-lbfgs3_oversampled_t70_trainnoise-1_testnoise-2_thresh-2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1,0.6290598290598292,0.6762820512820513,0.6685714285714286,0.7868589743589743,0.7842857142857143,0.6685714285714286,0.6306666666666667,0.6762820512820513,-1
lr-lbfgs5_oversampled_t70_trainnoise-1_testnoise-2_thresh-2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1,0.8438034188034188,0.875,0.8742857142857143,0.9273504273504273,0.9190476190476189,0.8742857142857143,0.8434285714285714,0.875,-1
lr-lbfgs8_oversampled_t70_trainnoise-1_testnoise-2_thresh-2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1,0.8508547008547007,0.8846153846153846,0.8857142857142857,0.9358974358974359,0.9371428571428572,0.8857142857142857,0.8560000000000001,0.8846153846153846,-1
