,train_macro_f1-score,train_macro_f1-score,train_macro_recall,train_macro_recall,train_micro_accuracy,train_micro_accuracy,train_macro_precision,train_macro_precision,train_weighted_precision,train_weighted_precision,train_weighted_recall,train_weighted_recall,train_weighted_f1-score,train_weighted_f1-score,train_balanced_accuracy,train_balanced_accuracy,train_macro_ovr_roc_auc_score,train_macro_ovr_roc_auc_score,test_macro_f1-score,test_macro_f1-score,test_macro_recall,test_macro_recall,test_micro_accuracy,test_micro_accuracy,test_macro_precision,test_macro_precision,test_weighted_precision,test_weighted_precision,test_weighted_recall,test_weighted_recall,test_weighted_f1-score,test_weighted_f1-score,test_balanced_accuracy,test_balanced_accuracy,test_macro_ovr_roc_auc_score,test_macro_ovr_roc_auc_score
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adbt5_30_10_oversampled_t70_trainnoise-1_testnoise-1_thresh-2,0.258888095,0.0,0.237179487,0.0,0.237179487,0.0,0.97798758,0.0,0.97798758,0.0,0.237179487,0.0,0.258888095,0.0,0.237179487,0.0,-1.0,0.0,0.058119658,0.0,0.067307692,0.0,0.062857143,0.0,0.875,0.0,0.867619048,0.0,0.062857143,0.0,0.054095238,0.0,0.067307692,0.0,-1.0,0.0
adbt5_30_15_oversampled_t70_trainnoise-1_testnoise-1_thresh-2,0.448497874,0.0,0.40491453,0.0,0.40491453,0.0,0.984162502,0.0,0.984162502,0.0,0.40491453,0.0,0.448497874,0.0,0.40491453,0.0,-1.0,0.0,0.128332064,0.0,0.144230769,0.0,0.142857143,0.0,0.790662393,0.0,0.799104762,0.0,0.142857143,0.0,0.128684583,0.0,0.144230769,0.0,-1.0,0.0
adbt5_30_5_oversampled_t70_trainnoise-1_testnoise-1_thresh-2,0.093621585,0.0,0.091880342,0.0,0.091880342,0.0,0.988281586,0.0,0.988281586,0.0,0.091880342,0.0,0.093621585,0.0,0.091880342,0.0,-1.0,0.0,0.018244052,0.0,0.032051282,0.0,0.028571429,0.0,0.931665023,0.0,0.933369963,0.0,0.028571429,0.0,0.01626327,0.0,0.032051282,0.0,-1.0,0.0
adbt5_45_10_oversampled_t70_trainnoise-1_testnoise-1_thresh-2,0.265927175,0.0,0.243589744,0.0,0.243589744,0.0,0.981475064,0.0,0.981475064,0.0,0.243589744,0.0,0.265927175,0.0,0.243589744,0.0,-1.0,0.0,0.064102564,0.0,0.073717949,0.0,0.074285714,0.0,0.86965812,0.0,0.866666667,0.0,0.074285714,0.0,0.066666667,0.0,0.073717949,0.0,-1.0,0.0
adbt5_45_15_oversampled_t70_trainnoise-1_testnoise-1_thresh-2,0.456584639,0.0,0.41025641,0.0,0.41025641,0.0,0.981992758,0.0,0.981992758,0.0,0.41025641,0.0,0.456584639,0.0,0.41025641,0.0,-1.0,0.0,0.121921808,0.0,0.134615385,0.0,0.137142857,0.0,0.774636752,0.0,0.784819048,0.0,0.137142857,0.0,0.126779821,0.0,0.134615385,0.0,-1.0,0.0
adbt5_45_5_oversampled_t70_trainnoise-1_testnoise-1_thresh-2,0.097332786,0.0,0.09508547,0.0,0.09508547,0.0,0.985775011,0.0,0.985775011,0.0,0.09508547,0.0,0.097332786,0.0,0.09508547,0.0,-1.0,0.0,0.018244052,0.0,0.032051282,0.0,0.028571429,0.0,0.931665023,0.0,0.933369963,0.0,0.028571429,0.0,0.01626327,0.0,0.032051282,0.0,-1.0,0.0
adbt8_15_10_oversampled_t70_trainnoise-1_testnoise-1_thresh-2,0.134709653,0.0,0.141025641,0.0,0.141025641,0.0,0.993637227,0.0,0.993637227,0.0,0.141025641,0.0,0.134709653,0.0,0.141025641,0.0,-1.0,0.0,0.07059448,0.0,0.080128205,0.0,0.074285714,0.0,0.955169297,0.0,0.948608059,0.0,0.074285714,0.0,0.06673946,0.0,0.080128205,0.0,-1.0,0.0
adbt8_15_15_oversampled_t70_trainnoise-1_testnoise-1_thresh-2,0.213544497,0.0,0.216880342,0.0,0.216880342,0.0,0.988147709,0.0,0.988147709,0.0,0.216880342,0.0,0.213544497,0.0,0.216880342,0.0,-1.0,0.0,0.104786898,0.0,0.115384615,0.0,0.10857142899999998,0.0,0.9583766459999999,0.0,0.9571814670000001,0.0,0.10857142899999998,0.0,0.10102908299999999,0.0,0.115384615,0.0,-1.0,0.0
adbt8_15_5_oversampled_t70_trainnoise-1_testnoise-1_thresh-2,0.096244131,0.0,0.102564103,0.0,0.102564103,0.0,0.9936352060000001,0.0,0.9936352060000001,0.0,0.102564103,0.0,0.096244131,0.0,0.102564103,0.0,-1.0,0.0,0.036402018,0.0,0.044871795,0.0,0.04,0.0,0.9711926959999999,0.0,0.9743203460000001,0.0,0.04,0.0,0.032449799,0.0,0.044871795,0.0,-1.0,0.0
adbt8_30_10_oversampled_t70_trainnoise-1_testnoise-1_thresh-2,0.134709653,0.0,0.141025641,0.0,0.141025641,0.0,0.993637227,0.0,0.993637227,0.0,0.141025641,0.0,0.134709653,0.0,0.141025641,0.0,-1.0,0.0,0.077004736,0.0,0.086538462,0.0,0.08,0.0,0.961579553,0.0,0.954322344,0.0,0.08,0.0,0.072453746,0.0,0.086538462,0.0,-1.0,0.0
