name,train_macro_f1-score,train_macro_f1-score,train_macro_recall,train_macro_recall,train_micro_accuracy,train_micro_accuracy,train_macro_precision,train_macro_precision,train_weighted_precision,train_weighted_precision,train_weighted_recall,train_weighted_recall,train_weighted_f1-score,train_weighted_f1-score,train_balanced_accuracy,train_balanced_accuracy,train_macro_ovr_roc_auc_score,train_macro_ovr_roc_auc_score,test_macro_f1-score,test_macro_f1-score,test_macro_recall,test_macro_recall,test_micro_accuracy,test_micro_accuracy,test_macro_precision,test_macro_precision,test_weighted_precision,test_weighted_precision,test_weighted_recall,test_weighted_recall,test_weighted_f1-score,test_weighted_f1-score,test_balanced_accuracy,test_balanced_accuracy,test_macro_ovr_roc_auc_score,test_macro_ovr_roc_auc_score
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
knn5_3_oversampled_t70_trainnoise-1_testnoise-1_thresh-2,0.962417239623122,0.0,0.9636752136752136,0.0,0.9636752136752136,0.0,0.9734612609612612,0.0,0.973461260961261,0.0,0.9636752136752136,0.0,0.962417239623122,0.0,0.9636752136752136,0.0,-1.0,0.0,0.8136752136752137,0.0,0.8525641025641025,0.0,0.8571428571428571,0.0,0.9155982905982905,0.0,0.9180952380952381,0.0,0.8571428571428571,0.0,0.8220952380952381,0.0,0.8525641025641025,0.0,-1.0,0.0
xgb-portion0.2_5_oversampled_t70_trainnoise-1_testnoise-1_thresh-2,0.998708983324368,0.0011785315922650229,0.9987179487179487,0.001170347345096473,0.9987179487179487,0.0011703473450965654,0.9989010989010989,0.0010031548672255332,0.9989010989010989,0.0010031548672256392,0.9987179487179487,0.0011703473450965654,0.998708983324368,0.001178531592264934,0.9987179487179487,0.001170347345096473,-1.0,0.0,0.8191025641025641,0.02470449578345361,0.8544871794871796,0.01835618085035428,0.8560000000000001,0.017332286729260682,0.9145299145299145,0.01068376068376062,0.9161904761904761,0.01202793422887154,0.8560000000000001,0.017332286729260682,0.8237714285714285,0.02388992140362129,0.8544871794871796,0.01835618085035428,-1.0,0.0
knn5_5_oversampled_t70_trainnoise-1_testnoise-1_thresh-2,0.9430928046312663,0.0,0.9465811965811964,0.0,0.9465811965811964,0.0,0.9585927960927961,0.0,0.9585927960927961,0.0,0.9465811965811964,0.0,0.943092804631266,0.0,0.9465811965811964,0.0,-1.0,0.0,0.8104700854700855,0.0,0.8461538461538461,0.0,0.8514285714285714,0.0,0.9113247863247864,0.0,0.9114285714285716,0.0,0.8514285714285714,0.0,0.8154285714285713,0.0,0.8461538461538461,0.0,-1.0,0.0
rf5_45_oversampled_t70_trainnoise-1_testnoise-1_thresh-2,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.8147008547008546,0.01304766712316807,0.85,0.012495890185652506,0.8502857142857143,0.010991648035240767,0.9091880341880343,0.012708736381805905,0.9108571428571428,0.01220757729079193,0.8502857142857143,0.010991648035240767,0.8189714285714285,0.011712814464326584,0.85,0.012495890185652506,-1.0,0.0
xgb-portion0.6_5_oversampled_t70_trainnoise-1_testnoise-1_thresh-2,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.8085897435897437,0.008547542718350346,0.8429487179487178,0.005551444896054075,0.8491428571428571,0.006515288143423641,0.9042735042735043,0.010538542987741557,0.9053333333333333,0.008974643039534897,0.8491428571428571,0.006515288143423641,0.8174095238095239,0.008760455366662845,0.8429487179487178,0.005551444896054075,-1.0,0.0
rf5_30_oversampled_t70_trainnoise-1_testnoise-1_thresh-2,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.7691880341880342,0.020170193199264844,0.816025641025641,0.01835618085035425,0.814857142857143,0.01877905911446287,0.8892094017094017,0.015521816691701062,0.892095238095238,0.017952444107505433,0.814857142857143,0.01877905911446287,0.7722666666666667,0.02171495404151125,0.816025641025641,0.01835618085035425,-1.0,0.0
nb3_oversampled_t70_trainnoise-1_testnoise-1_thresh-2,0.987043725505264,0.0,0.9871794871794872,0.0,0.9871794871794872,0.0,0.9892399267399268,0.0,0.9892399267399268,0.0,0.9871794871794872,0.0,0.987043725505264,0.0,0.9871794871794872,0.0,-1.0,0.0,0.7662393162393162,0.0,0.8173076923076923,0.0,0.8114285714285714,0.0,0.8947649572649572,0.0,0.8985714285714286,0.0,0.8114285714285714,0.0,0.7676190476190475,0.0,0.8173076923076923,0.0,-1.0,0.0
rf8_15_oversampled_t70_trainnoise-1_testnoise-1_thresh-2,0.9997848305540614,0.00048113350779978054,0.9997863247863247,0.0004777923028846231,0.9997863247863247,0.00047779230288451445,0.9998168498168498,0.0004095362596152903,0.9998168498168498,0.0004095362596152903,0.9997863247863247,0.00047779230288451445,0.9997848305540613,0.0004811335077998643,0.9997863247863247,0.0004777923028846231,-1.0,0.0,0.7584249084249085,0.013318309041310258,0.8044871794871795,0.01282051282051282,0.8034285714285714,0.011849395059044388,0.8810683760683761,0.016610997594048042,0.8875809523809524,0.020482457512701852,0.8034285714285714,0.011849395059044388,0.7636299319727892,0.013969120331232439,0.8044871794871795,0.01282051282051282,-1.0,0.0
xgb-portion0.8_5_oversampled_t70_trainnoise-1_testnoise-1_thresh-2,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.7539010989010989,0.013348837017193534,0.7923076923076924,0.012495890185652558,0.7988571428571428,0.013642670155786638,0.87741452991453,0.013991566550818558,0.8786857142857143,0.012123775857507622,0.7988571428571428,0.013642670155786638,0.7632598639455782,0.013457858048901334,0.7923076923076924,0.012495890185652558,-1.0,0.0
svm3_oversampled_t70_trainnoise-1_testnoise-1_thresh-2,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.751068376068376,0.0,0.7948717948717948,0.0,0.7885714285714286,0.0,0.8570512820512819,0.0,0.861142857142857,0.0,0.7885714285714286,0.0,0.7504761904761904,0.0,0.7948717948717948,0.0,-1.0,0.0
lr-lbfgs3_oversampled_t70_trainnoise-1_testnoise-1_thresh-2,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.7414529914529915,0.0,0.7916666666666666,0.0,0.7828571428571428,0.0,0.8669871794871795,0.0,0.871904761904762,0.0,0.7828571428571428,0.0,0.7405714285714285,0.0,0.7916666666666666,0.0,-1.0,0.0
xgb-portion0.4_3_oversampled_t70_trainnoise-1_testnoise-1_thresh-2,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.7315384615384615,0.016440915759435036,0.783974358974359,0.011009976946998465,0.7737142857142857,0.011849395059044414,0.8653846153846155,0.009473369578508688,0.8683809523809524,0.00809943868607441,0.7737142857142857,0.011849395059044414,0.7276952380952382,0.017892903874729096,0.783974358974359,0.011009976946998465,-1.0,0.0
knn8_1_oversampled_t70_trainnoise-1_testnoise-1_thresh-2,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.7154795821462487,0.0,0.75,0.0,0.76,0.0,0.9494444444444443,0.0,0.9449142857142856,0.0,0.76,0.0,0.7232169312169312,0.0,0.75,0.0,-1.0,0.0
rf5_15_oversampled_t70_trainnoise-1_testnoise-1_thresh-2,0.9997848305540614,0.000481133507799765,0.9997863247863247,0.0004777923028846246,0.9997863247863249,0.0004777923028845129,0.9998168498168498,0.0004095362596152888,0.9998168498168498,0.0004095362596152888,0.9997863247863249,0.0004777923028845129,0.9997848305540613,0.0004811335077998767,0.9997863247863247,0.0004777923028846246,-1.0,0.0,0.6994932844932844,0.021868341503015084,0.7525641025641026,0.025379272942088662,0.7485714285714286,0.017612611437054223,0.8581410256410257,0.0224931097963751,0.8562857142857142,0.02286349118190274,0.7485714285714286,0.017612611437054223,0.7001632653061224,0.01759527195758097,0.7525641025641026,0.025379272942088662,-1.0,0.0
