val_macro_f1-score,val_macro_recall,val_micro_accuracy,val_macro_precision,val_weighted_precision,val_weighted_recall,val_weighted_f1-score,val_balanced_accuracy,test_macro_f1-score,test_macro_recall,test_micro_accuracy,test_macro_precision,test_weighted_precision,test_weighted_recall,test_weighted_f1-score,test_balanced_accuracy,test_macro_ovr_roc_auc_score,test_time,learning_rate,loss_function,batch_size,optimizer,betas,amsgrad,weight_decay,epochs_taken,train_insertions,train_deletions,train_mutation_rate,model_name,oversample,confidence_threshold,seq_count_threshold,seq_len,test_insertions,test_deletions,test_mutation_rate,tag_and_primer,reverse_complements,k_folds,k_iters,encoding_mode,test_split,load_existing_train_test,layer1_input_channels,layer1_output_channels,layer1_conv_kernel,layer1_stride,layer1_padding,layer1_dropout,layer1_pool_kernel,datetime,trials,layer2_input_channels,layer2_output_channels,layer2_conv_kernel,layer2_stride,layer2_padding,layer2_dropout,layer2_pool_kernel
0.9675675675675676,0.9837837837837838,0.9818523153942428,0.9837837837837838,1.0,0.9816067653276956,0.9816067653276956,0.9833333333333334,0.9181623931623932,0.935897435897436,0.9371428571428572,0.9668803418803418,0.963809523809524,0.9371428571428572,0.9207619047619048,0.935897435897436,0.9990602464441412,0.022745132446289,0.005,CrossEntropyLoss,48,Adam,"(0.9, 0.999)",False,0.0,15,"[0, 2]","[0, 2]",0.05,VariableCNN,True,,2,71,"[1, 1]","[1, 1]",0.02,False,False,5,5,probability,0.3,True,4,512,6,1,2,0.2,3,20240112_015718,1.0,512.0,342.0,9.0,1.0,0.0,0.6,2.0
0.9891891891891892,0.9945945945945944,0.9818523153942428,0.9945945945945944,1.0,0.9953488372093025,0.9953488372093025,0.9944444444444444,0.927136752136752,0.9423076923076924,0.9428571428571428,0.9658119658119656,0.9647619047619046,0.9428571428571428,0.9291428571428572,0.9423076923076924,0.9984707975788304,0.0185153484344482,0.004,CrossEntropyLoss,48,Adam,"(0.9, 0.999)",False,0.0,15,"[0, 2]","[0, 2]",0.05,VariableCNN,True,,2,71,"[1, 1]","[1, 1]",0.02,False,False,5,5,probability,0.3,True,4,196,8,1,2,0.1,3,20240112_052411,,,,,,,,
1.0,1.0,0.9818523153942428,1.0,1.0,1.0,1.0,1.0,0.9004273504273504,0.9230769230769232,0.9314285714285714,0.9594017094017095,0.9619047619047618,0.9314285714285714,0.910095238095238,0.9230769230769232,0.9972552722453062,0.0217766761779785,0.002,CrossEntropyLoss,32,Adam,"(0.9, 0.999)",False,0.0,16,"[0, 2]","[0, 2]",0.05,VariableCNN,True,,2,71,"[1, 1]","[1, 1]",0.02,False,False,5,5,probability,0.3,True,4,512,7,1,1,0.0,3,20240112_152125,1.0,512.0,612.0,5.0,2.0,0.0,0.5,2.0
1.0,1.0,0.9818523153942428,1.0,1.0,1.0,1.0,1.0,0.8995726495726496,0.9198717948717948,0.92,0.9572649572649572,0.9590476190476188,0.92,0.9038095238095236,0.9198717948717948,0.9973285274511108,0.0180118083953857,0.004,CrossEntropyLoss,64,Adam,"(0.9, 0.999)",False,0.0,16,"[0, 2]","[0, 2]",0.05,VariableCNN,False,,2,71,"[1, 1]","[1, 1]",0.02,False,False,5,5,probability,0.3,True,4,256,7,1,2,0.0,2,20240112_192240,,,,,,,,
1.0,1.0,0.9818466264648992,1.0,1.0,1.0,1.0,1.0,0.9416666666666664,0.9519230769230768,0.9485714285714286,0.9722222222222222,0.9714285714285714,0.9485714285714286,0.9407619047619048,0.9519230769230768,0.99865500034924,0.0195517539978027,0.004,CrossEntropyLoss,32,Adam,"(0.9, 0.999)",False,0.0,13,"[0, 2]","[0, 2]",0.05,VariableCNN,True,,2,71,"[1, 1]","[1, 1]",0.02,False,False,5,5,probability,0.3,True,4,196,9,1,0,0.2,3,20240112_124805,,,,,,,,
1.0,1.0,0.9818466264648992,1.0,1.0,1.0,1.0,1.0,0.927991452991453,0.935897435897436,0.9371428571428572,0.9508547008547008,0.9495238095238094,0.9371428571428572,0.9287619047619048,0.935897435897436,0.9994288649361402,0.0207712650299072,0.003,CrossEntropyLoss,32,Adam,"(0.9, 0.999)",False,0.0,13,"[0, 2]","[0, 2]",0.05,VariableCNN,True,,2,71,"[1, 1]","[1, 1]",0.02,False,False,5,5,probability,0.3,True,4,196,8,1,0,0.2,2,20240111_194723,3.0,196.0,612.0,5.0,1.0,2.0,0.5,3.0
1.0,1.0,0.9818466264648992,1.0,1.0,1.0,1.0,1.0,0.9164529914529914,0.9326923076923076,0.9371428571428572,0.9594017094017095,0.9590476190476188,0.9371428571428572,0.9215238095238096,0.9326923076923076,0.996683072425548,0.0257947444915771,0.002,CrossEntropyLoss,10,Adam,"(0.9, 0.999)",False,0.0,15,"[0, 2]","[0, 2]",0.05,VariableCNN,True,,2,71,"[1, 1]","[1, 1]",0.02,False,False,5,5,probability,0.3,True,4,612,8,1,2,0.7,3,20240111_170050,1.0,,,,,,,
1.0,1.0,0.9807998634656958,1.0,1.0,1.0,1.0,1.0,0.9083333333333332,0.9230769230769232,0.9257142857142856,0.9519230769230768,0.9485714285714286,0.9257142857142856,0.9108571428571428,0.9230769230769232,0.9950797629938553,0.0266664028167724,0.003,CrossEntropyLoss,10,Adam,"(0.9, 0.999)",False,0.0,13,"[0, 2]","[0, 2]",0.05,VariableCNN,False,,2,71,"[1, 1]","[1, 1]",0.02,False,False,5,5,probability,0.3,True,4,512,8,1,2,0.4,3,20240111_135429,,,,,,,,
0.984156862745098,0.9920784313725493,0.9807941745363524,0.9920784313725493,1.0,0.993276836158192,0.993276836158192,0.9919183673469388,0.9198717948717948,0.935897435897436,0.9371428571428572,0.9647435897435898,0.9657142857142856,0.9371428571428572,0.923809523809524,0.935897435897436,0.9987655220114856,0.0180819034576416,0.008,CrossEntropyLoss,64,Adam,"(0.9, 0.999)",False,0.0,18,"[0, 2]","[0, 2]",0.05,VariableCNN,True,,2,71,"[1, 1]","[1, 1]",0.02,False,False,5,5,probability,0.3,True,4,512,6,2,1,0.5,3,20240111_131043,1.0,,,,,,,
0.9815424836601307,0.9920784313725493,0.9807941745363522,0.9881568627450982,1.0,0.9898870056497177,0.9921280602636536,0.9919183673469388,0.9183760683760684,0.9326923076923076,0.9371428571428572,0.9572649572649572,0.958095238095238,0.9371428571428572,0.9230476190476192,0.9326923076923076,0.99771588564692,0.0181338787078857,0.006,CrossEntropyLoss,64,Adam,"(0.9, 0.999)",False,0.0,19,"[0, 2]","[0, 2]",0.05,VariableCNN,False,,2,71,"[1, 1]","[1, 1]",0.02,False,False,5,5,probability,0.3,True,4,342,9,2,2,0.1,3,20240112_220130,,,,,,,,
