val_macro_f1-score,val_macro_recall,val_micro_accuracy,val_macro_precision,val_weighted_precision,val_weighted_recall,val_weighted_f1-score,val_balanced_accuracy,test_macro_f1-score,test_macro_recall,test_micro_accuracy,test_macro_precision,test_weighted_precision,test_weighted_recall,test_weighted_f1-score,test_balanced_accuracy,test_time,val_cross_ent,val_cluster,val_separation,val_avg_separation,val_p_avg_pair_dist,num_ptypes_per_class,ptype_length,prototype_shape,ptype_activation_fn,latent_weight,joint_features_lr,joint_add_on_layers_lr,joint_ptypes_lr,warm_add_on_layers_lr,warm_ptypes_lr,last_layer_optimizer_lr,weight_decay,joint_lr_step_size,cross_entropy_weight,cluster_weight,separation_weight,l1_weight,num_warm_epochs,push_epochs_gap,push_start,seq_count_thresh,trainRandomInsertions,trainRandomDeletions,trainMutationRate,oversample,encoding_mode,push_encoding_mode,applying_on_raw_data,augment_test_data,load_existing_train_test,train_batch_size,test_batch_size,num_classes,seq_target_length,addTagAndPrimer,addRevComplements,val_portion_of_train,patience,min_pc_improvement,datetime,epochs_taken,warm_lr_step_size
0.6645225500994731,0.6909188034188034,0.7019230769230769,0.7076032763532764,0.7258559727309728,0.7019230769230769,0.6794244395205934,0.6909188034188034,0.5556818181818183,0.5795454545454546,0.6914893617021277,0.5549242424242424,0.6879432624113474,0.6914893617021277,0.675177304964539,0.68,0.0887360572814941,0.9473823308944702,6.5603673458099365,5.272755146026611,2.5060027837753296,1.7017385959625244,3,9,"(468, 520, 9)",linear,1.0,0.0015821796199672,0.0091875668109798,0.0038827222865822,0.0004862857747105,0.0009677156307563,0.0005359996956109,0.0825967738960082,5,1,-9.6,2.4,0.001,1000000,8,5,2,"[0, 2]","[0, 2]",0.05,True,probability,probability,False,True,True,156,94,156,70,False,False,0.2,5,10,20240206_224916,,
0.5275080906148867,0.6990291262135923,0.648936170212766,0.7540453074433656,0.9007092198581559,0.648936170212766,0.6382978723404256,0.6436781609195402,0.44,0.6388888888888888,0.5638297872340425,0.6759259259259258,0.822695035460993,0.5638297872340425,0.5287234042553192,0.5666666666666667,0.0802960395812988,1.532570779323578,5.365185260772705,5.078739166259766,2.574128270149231,1.45878803730011,3,7,"(468, 520, 7)",log,0.9,0.0040232603806073,0.0030667798625598,0.0004727410516624,0.0009066725586045,0.0001145153107142,0.0009174313825695,0.0223632368822318,4,1,-9.6,2.4,0.001,1000000,12,27,2,"[0, 2]","[0, 2]",0.05,True,probability,probability,False,True,True,156,94,156,70,False,False,0.2,2,1,20240219_115229,6.0,4.0
0.4141975308641975,0.6342592592592593,0.5638297872340425,0.7152777777777778,0.8962765957446809,0.5638297872340425,0.5397163120567376,0.5459770114942529,0.275,0.555,0.3829787234042553,0.5883333333333333,0.7695035460992908,0.3829787234042553,0.3475177304964539,0.4066666666666667,0.0498661994934082,2.835276961326599,4.636164426803589,5.032732009887695,2.8910446166992188,1.4578006267547607,1,7,"(156, 520, 7)",log,0.6,0.0089799332878117,0.0080536732424855,0.0086912650041018,0.0003124832009081,0.0005565083497472,0.0006847602863388,0.0933346040020623,20,1,-9.6,2.4,0.001,1000000,14,27,2,"[0, 2]","[0, 2]",0.05,True,probability,probability,False,True,True,156,94,156,70,False,False,0.2,2,1,20240219_115059,3.0,2.0
0.532215434138511,0.5507478632478633,0.5576923076923077,0.5834350834350834,0.5971777065527066,0.5576923076923077,0.5477686398359475,0.5478494623655913,0.3423913043478261,0.5543478260869565,0.4468085106382978,0.5963768115942029,0.7379432624113474,0.4468085106382978,0.4290780141843971,0.4533333333333333,0.0715126991271972,2.880402088165283,6.5157575607299805,6.801419019699097,3.8489760160446167,1.4357677698135376,2,9,"(312, 520, 9)",log,0.2,0.0066573240370353,0.001600166879346,0.0025964450037279,0.0005161133492421,0.0009289586385959,0.0002249665327331,0.0892023930619381,2,1,-9.6,2.4,0.001,1000000,20,29,2,"[0, 2]","[0, 2]",0.05,True,probability,probability,False,True,True,156,94,156,70,False,False,0.2,4,1,20240212_124332,63.0,1.0
0.4128440366972477,0.6422018348623854,0.5425531914893617,0.6957186544342507,0.875886524822695,0.5425531914893617,0.5124113475177305,0.5517241379310345,0.3084210526315789,0.5631578947368421,0.4361702127659574,0.6263157894736842,0.8120567375886524,0.4361702127659574,0.3929078014184398,0.4466666666666666,0.0997047424316406,3.102845072746277,5.151275396347046,5.450293302536011,3.0321264266967773,1.4633394479751587,3,7,"(468, 520, 7)",log,0.5,0.0069829756224002,0.0043322299786628,0.0047678328771917,0.000755271677396,0.0003183810463908,0.0005509489870787,0.0870606885958713,2,1,-9.6,2.4,0.001,1000000,12,24,2,"[0, 2]","[0, 2]",0.05,True,probability,probability,False,True,True,156,94,156,70,False,False,0.2,2,1,20240219_115652,3.0,17.0
0.3881188118811881,0.5792079207920792,0.5212765957446809,0.7495049504950494,0.8726950354609929,0.5212765957446809,0.4673758865248226,0.5114942528735632,0.3498480243161093,0.5904255319148937,0.4574468085106383,0.7109929078014184,0.8953900709219859,0.4574468085106383,0.4147416413373859,0.4866666666666667,0.0748157501220703,2.851292371749878,5.4248411655426025,5.035590887069702,2.491099715232849,1.465442419052124,3,7,"(468, 520, 7)",linear,1.0,0.0057632802025286,0.0027861714774244,0.0021707459271946,0.0006541497525174,0.000921920001451,0.0009941934807081,0.0012799612699498,9,1,-9.6,2.4,0.001,1000000,14,20,2,"[0, 2]","[0, 2]",0.05,True,probability,probability,False,True,True,156,94,156,70,False,False,0.2,2,1,20240219_115127,4.0,3.0
0.3694968553459119,0.5849056603773585,0.5106382978723404,0.6839622641509434,0.8404255319148937,0.5106382978723404,0.4716312056737588,0.4942528735632184,0.2453088165959453,0.5148514851485149,0.3617021276595745,0.6044554455445544,0.8060283687943264,0.3617021276595745,0.3480749746707193,0.3466666666666667,0.0658240318298339,2.728207588195801,4.751334190368652,5.0459303855896,2.8887230157852173,1.4583120346069336,1,7,"(156, 520, 7)",log,0.6,0.0089799332878117,0.0080536732424855,0.0086912650041018,0.0003124832009081,0.0005565083497472,0.0006847602863388,0.0933346040020623,20,1,-9.6,2.4,0.001,1000000,14,27,2,"[0, 2]","[0, 2]",0.05,True,probability,probability,False,True,True,156,94,156,70,False,False,0.2,2,1,20240219_115444,2.0,2.0
0.4526174841934546,0.4930555555555556,0.5,0.5045697358197359,0.5223591223591223,0.5,0.4651412913331674,0.4930555555555556,0.215032679738562,0.2450980392156862,0.3191489361702128,0.2091503267973855,0.2890070921985815,0.3191489361702128,0.2875886524822695,0.3333333333333333,0.0229392051696777,2.788372039794922,5.328642129898071,5.336658716201782,3.179789185523987,1.5786453485488892,2,7,"(312, 520, 7)",linear,0.4,0.0013998831088799,0.0066816128200813,0.0003206472759278,0.0002363164281968,0.000874668352728,0.0008107526339427,0.0524052364287612,6,1,-9.6,2.4,0.001,1000000,8,5,2,"[0, 2]","[0, 2]",0.05,True,probability,probability,False,True,True,156,94,156,70,False,False,0.2,5,10,20240206_225008,,
0.4447414388025248,0.4875,0.4791666666666667,0.4664491543733625,0.4692941814972358,0.4791666666666667,0.4434863365434632,0.4875,0.246,0.265,0.3404255319148936,0.2475,0.3377659574468085,0.3404255319148936,0.3241134751773049,0.3533333333333333,0.0608370304107666,2.140502691268921,7.380863666534424,7.353399276733398,3.255731701850891,1.2660436630249023,2,15,"(312, 520, 15)",log,0.8,0.0087735774391183,0.0062947289372035,0.0018985198186014,0.0003689100080684,0.0004250709412501,0.0002493604514167,0.0968556774337902,13,1,-9.6,2.4,0.001,1000000,8,5,2,"[0, 2]","[0, 2]",0.05,True,probability,probability,False,True,True,156,94,156,70,False,False,0.2,5,10,20240206_224620,,
0.3441269841269841,0.5619047619047619,0.4680851063829787,0.688888888888889,0.8404255319148937,0.4680851063829787,0.4177304964539007,0.4712643678160919,0.2445578231292516,0.5102040816326531,0.351063829787234,0.6326530612244898,0.8209219858156027,0.351063829787234,0.3166666666666666,0.36,0.0596375465393066,2.9368042945861816,4.570672035217285,5.110578775405884,2.88715934753418,1.4584779739379885,1,7,"(156, 520, 7)",log,0.6,0.0089799332878117,0.0080536732424855,0.0086912650041018,0.0003124832009081,0.0005565083497472,0.0006847602863388,0.0933346040020623,20,1,-9.6,2.4,0.001,1000000,14,27,2,"[0, 2]","[0, 2]",0.05,True,probability,probability,False,True,True,156,94,156,70,False,False,0.2,2,1,20240219_115546,2.0,2.0
