val_macro_f1-score,val_macro_recall,val_micro_accuracy,val_macro_precision,val_weighted_precision,val_weighted_recall,val_weighted_f1-score,val_balanced_accuracy,test_macro_f1-score,test_macro_recall,test_micro_accuracy,test_macro_precision,test_weighted_precision,test_weighted_recall,test_weighted_f1-score,test_balanced_accuracy,epochs_taken,test_time,val_cross_ent,val_cluster,val_separation,val_avg_separation,val_p_avg_pair_dist,num_ptypes_per_class,rank,ptype_length,prototype_shape,ptype_activation_fn,latent_weight,joint_features_lr,joint_ptypes_lr,warm_ptypes_lr,last_layer_lr,joint_weight_decay,joint_lr_step_size,warm_lr_step_size,cross_entropy_weight,cluster_weight,separation_weight,l1_weight,num_warm_epochs,push_gap,push_start,num_pushes,last_layer_epochs,seq_count_thresh,trainRandomInsertions,trainRandomDeletions,trainMutationRate,oversample,encoding_mode,push_encoding_mode,applying_on_raw_data,augment_test_data,load_existing_train_test,train_batch_size,test_batch_size,num_classes,seq_target_length,addTagAndPrimer,addRevComplements,val_portion_of_train,datetime
0.277432712,0.347826087,0.308510638,0.925009134,0.979796174,0.308510638,0.296352584,0.310344828,0.076074332,0.170731707,0.095744681,0.88902439,0.960638298,0.095744681,0.083080041,0.093333333,71,0.027196407,4.820919514,0.713991731,0.508870482,0.166559517,250444.5313,3,1,25,"(468, 520, 25)",unused,0.9,-1,-1,0.7,0.05,0,-1,60,1,-9.6,2.4,0.001,1000000,15,70,0,50,2,"[0, 2]","[0, 2]",0.05,TRUE,probability,probability,FALSE,TRUE,TRUE,156,94,156,70,FALSE,FALSE,0.2,20240314_222607
0.259575569,0.336956522,0.29787234,0.919716958,0.974616597,0.29787234,0.275329281,0.298850575,0.241746501,0.320512821,0.319148936,0.894788183,0.92599445,0.319148936,0.272650222,0.293333333,71,0.02572751,4.841060877,0.76647824,0.586547643,0.255621463,3602.965332,3,1,13,"(468, 520, 13)",unused,0.9,-1,-1,0.07,0.05,0,-1,60,1,-9.6,2.4,0.001,1000000,15,70,0,50,2,"[0, 2]","[0, 2]",0.05,TRUE,probability,probability,FALSE,TRUE,TRUE,156,94,156,70,FALSE,FALSE,0.2,20240314_205840
0.254301075,0.338709677,0.29787234,0.907450077,0.966945289,0.29787234,0.27641844,0.293103448,0.206949537,0.325301205,0.255319149,0.866131191,0.963356974,0.255319149,0.240888067,0.253333333,71,0.026036501,4.815517664,0.706691772,0.503730029,0.2012375,6629.495605,3,1,25,"(468, 520, 25)",unused,0.9,-1,-1,0.07,0.05,0,-1,60,1,-9.6,2.4,0.001,1000000,15,70,0,50,2,"[0, 2]","[0, 2]",0.05,TRUE,probability,probability,FALSE,TRUE,TRUE,156,94,156,70,FALSE,FALSE,0.2,20240314_223229
0.232440191,0.357894737,0.287234043,0.861578947,0.945212766,0.287234043,0.245551257,0.298850575,0.208436214,0.333333333,0.276595745,0.843738977,0.922087133,0.276595745,0.231028369,0.28,71,0.027490854,4.837195158,0.755562603,0.550929964,0.197929032,177758.5156,3,1,17,"(468, 520, 17)",unused,0.9,-1,-1,0.7,0.05,0,-1,60,1,-9.6,2.4,0.001,1000000,15,70,0,50,2,"[0, 2]","[0, 2]",0.05,TRUE,probability,probability,FALSE,TRUE,TRUE,156,94,156,70,FALSE,FALSE,0.2,20240314_182720
0.214285714,0.350515464,0.265957447,0.842861606,0.93891038,0.265957447,0.228216819,0.275862069,0.135791715,0.25,0.20212766,0.83505257,0.90548179,0.20212766,0.16067207,0.18,71,0.026600838,4.838298559,0.757137388,0.572053134,0.215675861,139889.3906,3,1,13,"(468, 520, 13)",unused,0.9,-1,-1,0.7,0.05,0,-1,60,1,-9.6,2.4,0.001,1000000,15,70,0,50,2,"[0, 2]","[0, 2]",0.05,TRUE,probability,probability,FALSE,TRUE,TRUE,156,94,156,70,FALSE,FALSE,0.2,20240314_205509
0.217046657,0.277777778,0.244680851,0.925568327,0.960650526,0.244680851,0.218448927,0.252873563,0.143459916,0.208860759,0.180851064,0.916666667,0.957446809,0.180851064,0.164893617,0.166666667,71,0.027261019,4.839131117,0.724652559,0.523063362,0.181913793,214053.625,3,1,21,"(468, 520, 21)",unused,0.9,-1,-1,0.7,0.05,0,-1,60,1,-9.6,2.4,0.001,1000000,15,70,0,50,2,"[0, 2]","[0, 2]",0.05,TRUE,probability,probability,FALSE,TRUE,TRUE,156,94,156,70,FALSE,FALSE,0.2,20240314_215805
0.186188811,0.244318182,0.234042553,0.927698033,0.94295135,0.234042553,0.192034915,0.235632184,0.14747151,0.224358974,0.20212766,0.916515106,0.952496701,0.20212766,0.162322695,0.193333333,71,0.026214361,4.82902503,0.767203122,0.606983632,0.231865533,116585.6953,3,1,11,"(468, 520, 11)",unused,0.9,-1,-1,0.7,0.05,0,-1,60,1,-9.6,2.4,0.001,1000000,15,70,0,50,2,"[0, 2]","[0, 2]",0.05,TRUE,probability,probability,FALSE,TRUE,TRUE,156,94,156,70,FALSE,FALSE,0.2,20240314_204009
0.165851449,0.266304348,0.223404255,0.890894975,0.946407847,0.223404255,0.180053191,0.224137931,0.086382342,0.191358025,0.138297872,0.860493827,0.940070922,0.138297872,0.11131528,0.126666667,71,0.023750067,4.84066534,0.809321404,0.684553444,0.314564377,1859.854492,3,1,7,"(468, 520, 7)",unused,0.9,-1,-1,0.07,0.05,0,-1,60,1,-9.6,2.4,0.001,1000000,15,70,0,50,2,"[0, 2]","[0, 2]",0.05,TRUE,probability,probability,FALSE,TRUE,TRUE,156,94,156,70,FALSE,FALSE,0.2,20240314_201858
0.182844933,0.252747253,0.223404255,0.918694401,0.963842452,0.223404255,0.201832151,0.218390805,0.140416667,0.21875,0.159574468,0.878125,0.938829787,0.159574468,0.146099291,0.166666667,71,0.026987076,4.821187019,0.697049856,0.507003963,0.163925424,269109.5313,3,1,27,"(468, 520, 27)",unused,0.9,-1,-1,0.7,0.05,0,-1,60,1,-9.6,2.4,0.001,1000000,15,70,0,50,2,"[0, 2]","[0, 2]",0.05,TRUE,probability,probability,FALSE,TRUE,TRUE,156,94,156,70,FALSE,FALSE,0.2,20240314_192110
0.174511068,0.276595745,0.212765957,0.892819149,0.957712766,0.212765957,0.176445304,0.218390805,0.13462669,0.228395062,0.14893617,0.865777113,0.94816964,0.14893617,0.133738602,0.166666667,71,0.025776386,4.836893559,0.75910005,0.556214422,0.24208305,4184.489746,3,1,15,"(468, 520, 15)",unused,0.9,-1,-1,0.07,0.05,0,-1,60,1,-9.6,2.4,0.001,1000000,15,70,0,50,2,"[0, 2]","[0, 2]",0.05,TRUE,probability,probability,FALSE,TRUE,TRUE,156,94,156,70,FALSE,FALSE,0.2,20240314_211636
