val_macro_f1-score,val_macro_recall,val_micro_accuracy,val_macro_precision,val_weighted_precision,val_weighted_recall,val_weighted_f1-score,val_balanced_accuracy,test_macro_f1-score,test_macro_recall,test_micro_accuracy,test_macro_precision,test_weighted_precision,test_weighted_recall,test_weighted_f1-score,test_balanced_accuracy,epochs_taken,test_time,val_cross_ent,val_cluster,val_separation,val_avg_separation,val_p_avg_pair_dist,num_ptypes_per_class,ptype_length,prototype_shape,ptype_activation_fn,latent_weight,joint_features_lr,joint_add_on_layers_lr,joint_ptypes_lr,warm_add_on_layers_lr,warm_ptypes_lr,last_layer_optimizer_lr,weight_decay,joint_lr_step_size,warm_lr_step_size,cross_entropy_weight,cluster_weight,separation_weight,l1_weight,num_warm_epochs,push_epochs_gap,push_start,seq_count_thresh,trainRandomInsertions,trainRandomDeletions,trainMutationRate,oversample,encoding_mode,push_encoding_mode,applying_on_raw_data,augment_test_data,load_existing_train_test,train_batch_size,test_batch_size,num_classes,seq_target_length,addTagAndPrimer,addRevComplements,val_portion_of_train,patience,min_pc_improvement,datetime
0.6491408934707903,0.7835051546391752,0.7446808510638298,0.8247422680412371,0.9219858156028368,0.7446808510638298,0.7138297872340424,0.7586206896551724,0.4189473684210526,0.6526315789473685,0.574468085106383,0.6859649122807018,0.8705673758865249,0.574468085106383,0.5524822695035461,0.56,26,0.0264549255371093,1.0572784543037417,3.9908138513565055,7.191040277481079,3.6174317598342896,0.9743216037750244,[2],[25],"(312, 520, 25)",unused,0.9,-1,-1,-1,-1,0.0007,0.001,0.065,-1,1000000,1,-9.6,2.4,0.001,1000000,6,10,2,"[0, 2]","[0, 2]",0.05,True,probability,probability,False,True,True,156,94,156,70,False,False,0.2,7,1,20240227_124516
0.5316993464052288,0.7058823529411765,0.6595744680851063,0.7663398692810457,0.898936170212766,0.6595744680851063,0.6308510638297873,0.6551724137931034,0.2739273927392739,0.5346534653465347,0.3936170212765957,0.5643564356435643,0.7872340425531915,0.3936170212765957,0.4078014184397163,0.3733333333333333,26,0.0272684097290039,1.2946946620941162,4.093142747879028,7.308180570602417,3.62424373626709,0.9737676978111268,[2],[25],"(312, 520, 25)",unused,0.9,-1,-1,-1,-1,0.0007,0.00065,0.065,-1,1000000,1,-9.6,2.4,0.001,1000000,6,10,2,"[0, 2]","[0, 2]",0.05,True,probability,probability,False,True,True,156,94,156,70,False,False,0.2,7,1,20240227_104047
0.5297029702970297,0.7029702970297029,0.648936170212766,0.7706270627062707,0.8918439716312058,0.648936170212766,0.6117021276595744,0.6551724137931034,0.268954248366013,0.553921568627451,0.3829787234042553,0.5702614379084967,0.7819148936170213,0.3829787234042553,0.3620567375886525,0.3933333333333333,26,0.0275020599365234,1.2960719466209412,3.8817877769470215,7.2895543575286865,3.644931077957153,0.982803225517273,[2],[25],"(312, 520, 25)",unused,0.9,-1,-1,-1,-1,0.0007,0.00065,0.065,-1,1000000,1,-9.6,2.4,0.001,1000000,6,10,2,"[0, 2]","[0, 2]",0.05,True,probability,probability,False,True,True,156,94,156,70,False,False,0.2,7,1,20240227_104848
0.4789644012944982,0.6747572815533981,0.6063829787234043,0.7491909385113268,0.8953900709219857,0.6063829787234043,0.5673758865248227,0.6149425287356322,0.4059027777777778,0.6458333333333334,0.5212765957446809,0.6527777777777778,0.8067375886524822,0.5212765957446809,0.5028368794326241,0.5466666666666666,32,0.0280485153198242,1.6662410497665403,3.9268181324005127,7.057982444763184,3.617750763893128,0.9714487195014954,[2],[25],"(312, 520, 25)",unused,0.9,-1,-1,-1,-1,0.0007,0.001,0.065,-1,1000000,1,-9.6,2.4,0.001,1000000,11,10,2,"[0, 2]","[0, 2]",0.05,True,probability,probability,False,True,True,156,94,156,70,False,False,0.2,7,1,20240227_130514
0.4649999999999999,0.625,0.5638297872340425,0.7033333333333333,0.8226950354609929,0.5638297872340425,0.5407801418439716,0.5689655172413793,0.2874149659863945,0.5357142857142857,0.3936170212765957,0.5663265306122449,0.7553191489361702,0.3936170212765957,0.3865248226950354,0.3933333333333333,32,0.0277626514434814,1.7263849973678589,3.7862688302993774,7.073445796966553,3.579662084579468,0.9687161445617676,[2],[25],"(312, 520, 25)",unused,0.9,-1,-1,-1,-1,0.0007,0.001,0.065,-1,1000000,1,-9.6,2.4,0.001,1000000,11,10,2,"[0, 2]","[0, 2]",0.05,True,probability,probability,False,True,True,156,94,156,70,False,False,0.2,7,1,20240227_125812
0.3119266055045872,0.555045871559633,0.4468085106382978,0.6773700305810398,0.8439716312056739,0.4468085106382978,0.3989361702127659,0.4425287356321839,0.2062091503267974,0.5,0.2978723404255319,0.5694444444444444,0.800531914893617,0.2978723404255319,0.2659574468085106,0.32,26,0.0280449390411376,71.63146591186523,4.469232082366943,8.093729019165039,3.548673391342163,0.9691439867019652,[2],[25],"(312, 520, 25)",unused,0.9,-1,-1,-1,-1,0.0007,0.0065,0.065,-1,1000000,1,-9.6,2.4,0.001,1000000,6,10,2,"[0, 2]","[0, 2]",0.05,True,probability,probability,False,True,True,156,94,156,70,False,False,0.2,7,1,20240227_110719
0.2267295597484276,0.4622641509433962,0.3404255319148936,0.6976415094339622,0.8523049645390071,0.3404255319148936,0.2765957446808511,0.3448275862068966,0.1700680272108843,0.4591836734693877,0.2765957446808511,0.6301020408163265,0.8271276595744681,0.2765957446808511,0.2195035460992907,0.2933333333333333,26,0.0282771587371826,211.17432403564453,4.841947078704834,8.148838520050049,3.747846245765686,1.0304439067840576,[2],[25],"(312, 520, 25)",unused,0.9,-1,-1,-1,-1,0.0007,0.01,0.065,-1,1000000,1,-9.6,2.4,0.001,1000000,6,10,2,"[0, 2]","[0, 2]",0.05,True,probability,probability,False,True,True,156,94,156,70,False,False,0.2,7,1,20240227_111856
0.1231622746185853,0.3398058252427184,0.2234042553191489,0.7053398058252428,0.8367021276595745,0.2234042553191489,0.1562310030395136,0.2183908045977011,0.0510800196367206,0.3041237113402061,0.0957446808510638,0.6458026509572901,0.8437183383991894,0.0957446808510638,0.0683130699088145,0.1,26,0.0274147987365722,3700203008.0,5.795233964920044,8.935052394866943,3.7441927194595337,1.027591109275818,[2],[25],"(312, 520, 25)",unused,0.9,-1,-1,-1,-1,0.0007,99999.0,0.065,-1,1000000,1,-9.6,2.4,0.001,1000000,6,10,2,"[0, 2]","[0, 2]",0.05,True,probability,probability,False,True,True,156,94,156,70,False,False,0.2,7,1,20240227_113455
0.1312728937728937,0.3413461538461538,0.2127659574468085,0.6746794871794871,0.8085106382978723,0.2127659574468085,0.1619047619047618,0.2126436781609195,0.0986254295532646,0.3608247422680412,0.1702127659574468,0.6656357388316151,0.8712765957446809,0.1702127659574468,0.127304964539007,0.1733333333333333,26,0.0272426605224609,13154.7880859375,6.050581932067871,9.217248439788818,3.7544000148773193,1.0291457176208496,[2],[25],"(312, 520, 25)",unused,0.9,-1,-1,-1,-1,0.0007,0.4,0.065,-1,1000000,1,-9.6,2.4,0.001,1000000,6,10,2,"[0, 2]","[0, 2]",0.05,True,probability,probability,False,True,True,156,94,156,70,False,False,0.2,7,1,20240227_112753
0.0289891395154553,0.2763157894736842,0.0744680851063829,0.4837719298245614,0.6388297872340425,0.0744680851063829,0.0554204660587639,0.0517241379310344,0.0272727272727272,0.3454545454545454,0.0425531914893617,0.3954545454545454,0.5904255319148937,0.0425531914893617,0.0460992907801418,0.04,56,0.0282914638519287,4.970484495162964,5.1888649463653564,8.788555145263672,4.677115678787232,0.9980892539024352,[2],[25],"(312, 520, 25)",unused,0.5,-1,-1,-1,-1,0.0007,0.00065,0.065,-1,1000000,1,-9.6,2.4,0.001,1000000,10,10,2,"[0, 2]","[0, 2]",0.05,True,probability,probability,False,True,True,156,94,156,70,False,False,0.2,7,1,20240227_093452
